Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,Rob Gronkowski,TE,6,NE,NYJ,7.9,4.6,62.5,67.0,0.6,0.0,8.4,13.4,0.0,0.0,0.0,0.0,0.0,10.30
2,Travis Kelce,TE,6,KC,PIT,7.1,5.1,71.4,64.4,0.4,0.0,9.1,12.8,0.2,1.0,0.0,0.1,0.1,8.74
3,Delanie Walker,TE,6,TEN,IND,6.1,4.5,66.7,55.1,0.4,0.0,9.2,13.8,0.0,0.0,0.0,0.0,0.0,7.91
4,Zach Ertz,TE,6,PHI,CAR,10.4,6.0,60.0,64.8,0.3,0.0,6.5,10.8,0.0,0.0,0.0,0.2,0.2,7.88
5,Jordan Reed,TE,6,WAS,SF,6.8,4.6,71.4,51.5,0.4,0.0,7.4,10.4,0.0,0.0,0.0,0.1,0.1,7.35
6,Kyle Rudolph,TE,6,MIN,GB,6.9,3.9,57.1,41.6,0.4,0.0,6.0,10.5,0.0,0.0,0.0,0.0,0.0,6.56
7,Evan Engram,TE,6,NYG,DEN,7.9,4.6,62.5,45.6,0.3,0.0,5.8,9.2,0.0,0.0,0.0,0.0,0.0,6.36
8,Cameron Brate,TE,6,TB,ARI,5.1,3.5,80.0,39.2,0.4,0.0,7.8,9.8,0.0,0.0,0.0,0.0,0.0,6.32
9,Austin Seferian-Jenkins,TE,6,NYJ,NE,5.2,3.8,80.0,42.8,0.3,0.0,8.6,10.8,0.0,0.0,0.0,0.0,0.0,6.08
10,Jared Cook,TE,6,OAK,LAC,4.9,3.6,80.0,43.2,0.3,0.0,8.6,10.8,0.0,0.0,0.0,0.1,0.1,5.92
11,Hunter Henry,TE,6,LAC,OAK,4.4,3.0,75.0,36.6,0.4,0.0,9.2,12.3,0.0,0.0,0.0,0.1,0.1,5.86
12,Martellus Bennett,TE,6,GB,MIN,6.1,3.7,66.7,37.3,0.3,0.0,6.2,9.2,0.0,0.0,0.0,0.0,0.0,5.53
13,Coby Fleener,TE,6,NO,DET,4.2,3.1,75.0,34.5,0.3,0.0,8.5,11.3,0.0,0.0,0.0,0.0,0.0,5.25
14,Ed Dickson,TE,6,CAR,PHI,4.9,2.9,60.0,39.0,0.2,0.0,7.8,13.0,0.0,0.0,0.0,0.0,0.0,5.10
15,Ryan Griffin,TE,6,HOU,CLE,4.1,2.9,75.0,32.9,0.3,0.0,8.2,11.0,0.0,0.0,0.0,0.0,0.0,5.09
16,Austin Hooper,TE,6,ATL,MIA,3.4,2.6,100.0,32.2,0.3,0.0,10.7,10.7,0.0,0.0,0.0,0.0,0.0,5.02
17,Zach Miller,TE,6,CHI,BAL,5.6,3.5,66.7,38.0,0.2,0.0,6.3,9.5,0.0,0.0,0.0,0.0,0.0,5.00
18,George Kittle,TE,6,SF,WAS,5.8,3.5,66.7,37.6,0.2,0.0,6.3,9.5,0.0,0.0,0.0,0.0,0.0,4.96
19,Eric Ebron,TE,6,DET,NO,4.2,3.1,75.0,35.2,0.2,0.0,8.8,11.7,0.0,0.0,0.0,0.0,0.0,4.72
20,Julius Thomas,TE,6,MIA,ATL,4.0,2.7,75.0,27.8,0.3,0.0,7.0,9.3,0.0,0.0,0.0,0.0,0.0,4.58
21,Jack Doyle,TE,6,IND,TEN,5.8,3.6,66.7,35.2,0.2,0.0,5.8,8.8,0.0,0.0,0.0,0.1,0.1,4.52
22,Benjamin Watson,TE,6,BAL,CHI,4.6,3.1,60.0,32.1,0.2,0.0,6.4,10.7,0.0,0.0,0.0,0.0,0.0,4.41
23,Antonio Gates,TE,6,LAC,OAK,3.6,2.3,50.0,26.1,0.3,0.0,6.5,13.0,0.0,0.0,0.0,0.1,0.1,4.21
24,Jesse James,TE,6,PIT,KC,4.1,3.0,75.0,28.3,0.2,0.0,7.0,9.3,0.0,0.0,0.0,0.0,0.0,4.03
25,Jermaine Gresham,TE,6,ARI,TB,4.8,2.7,60.0,26.9,0.2,0.0,5.4,9.0,0.0,0.0,0.0,0.0,0.0,3.89
26,Stephen Anderson,TE,6,HOU,CLE,2.7,1.9,66.7,23.2,0.2,0.0,7.7,11.5,0.0,0.0,0.0,0.0,0.0,3.52
27,Tyler Higbee,TE,6,LAR,JAX,3.5,2.6,100.0,29.2,0.1,0.0,9.7,9.7,0.0,0.0,0.0,0.0,0.0,3.52
28,Marcedes Lewis,TE,6,JAX,LAR,3.5,2.0,66.7,22.7,0.2,0.0,7.7,11.5,0.0,0.0,0.0,0.0,0.0,3.47
29,David Njoku,TE,6,CLE,HOU,2.9,2.2,66.7,22.2,0.2,0.0,7.3,11.0,0.0,0.0,0.0,0.0,0.0,3.42
30,AJ Derby,TE,6,DEN,NYG,3.0,2.2,66.7,23.8,0.2,0.0,8.0,12.0,0.0,0.0,0.0,0.1,0.1,3.38
31,Seth DeValve,TE,6,CLE,HOU,3.0,2.2,66.7,24.1,0.1,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,3.01
32,Darren Fells,TE,6,DET,NO,2.2,1.6,100.0,17.1,0.2,0.0,8.5,8.5,0.0,0.0,0.0,0.0,0.0,2.91
33,Vernon Davis,TE,6,WAS,SF,2.7,1.6,66.7,22.5,0.1,0.0,7.3,11.0,0.0,0.0,0.0,0.0,0.0,2.85
34,Jonnu Smith,TE,6,TEN,IND,2.2,1.4,50.0,16.4,0.2,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,2.84
35,OJ Howard,TE,6,TB,ARI,2.0,1.5,100.0,16.0,0.2,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.80
36,Nick Boyle,TE,6,BAL,CHI,3.0,1.7,66.7,16.2,0.1,0.0,5.3,8.0,0.0,0.0,0.0,0.0,0.0,2.22
37,Dion Sims,TE,6,CHI,BAL,2.0,1.4,50.0,14.5,0.1,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,2.05
38,Virgil Green,TE,6,DEN,NYG,2.1,1.3,50.0,13.8,0.1,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,1.98
39,Garrett Celek,TE,6,SF,WAS,2.2,1.3,50.0,12.5,0.1,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.85
40,Gerald Everett,TE,6,LAR,JAX,2.1,1.2,50.0,12.5,0.1,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.85
41,Rhett Ellison,TE,6,NYG,DEN,1.9,1.4,50.0,12.2,0.1,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.82
42,Josh Hill,TE,6,NO,DET,1.7,1.1,50.0,12.1,0.1,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.81
43,Maxx Williams,TE,6,BAL,CHI,2.6,1.5,66.7,11.8,0.1,0.0,4.0,6.0,0.0,0.1,0.0,0.0,0.0,1.79
44,Troy Niklas,TE,6,ARI,TB,1.3,1.0,100.0,10.8,0.1,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.68
45,Demetrius Harris,TE,6,KC,PIT,1.7,1.1,50.0,10.8,0.1,0.0,5.5,11.0,0.0,0.0,0.0,0.0,0.0,1.68
46,Trey Burton,TE,6,PHI,CAR,1.7,1.2,50.0,10.5,0.1,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.65
47,Lance Kendricks,TE,6,GB,MIN,1.6,0.9,50.0,10.1,0.1,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.61
48,Vance McDonald,TE,6,PIT,KC,1.6,0.9,50.0,10.0,0.1,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.60
49,Levine Toilolo,TE,6,ATL,MIA,1.1,0.7,100.0,6.7,0.1,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.27
50,Anthony Fasano,TE,6,MIA,ATL,1.0,0.6,100.0,6.2,0.1,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.22
