Rk,Player,Pos,Week,Team,Opp,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Green Bay Packers,DST,14,GB,CLE,0.0,3.0,0.0,1.2,0.7,0.0,0.0,0.0,18.3,9.00
2,Jacksonville Jaguars,DST,14,JAX,SEA,0.0,3.5,0.0,1.0,0.6,0.0,0.0,0.0,20.5,8.90
3,New England Patriots,DST,14,NE,MIA,0.0,2.7,0.0,1.1,0.7,0.0,0.0,0.0,17.7,8.50
4,Buffalo Bills,DST,14,BUF,IND,0.0,3.0,0.0,1.0,0.6,0.0,0.0,0.0,18.6,8.40
5,Los Angeles Chargers,DST,14,LAC,WAS,0.0,2.8,0.0,0.9,0.7,0.0,0.0,0.0,20.0,8.20
6,Minnesota Vikings,DST,14,MIN,CAR,0.0,2.7,0.0,0.9,0.6,0.0,0.0,0.0,20.2,7.90
7,Cincinnati Bengals,DST,14,CIN,CHI,0.0,2.8,0.0,0.7,0.7,0.0,0.0,0.0,16.4,7.80
8,Seattle Seahawks,DST,14,SEA,JAX,0.0,2.5,0.0,0.9,0.6,0.0,0.0,0.0,19.6,7.70
9,Pittsburgh Steelers,DST,14,PIT,BAL,0.0,2.7,0.0,0.9,0.5,0.0,0.0,0.0,19.7,7.70
10,Denver Broncos,DST,14,DEN,NYJ,0.0,2.6,0.0,0.8,0.6,0.0,0.0,0.0,17.7,7.60
11,Tennessee Titans,DST,14,TEN,ARI,0.0,2.8,0.0,1.1,0.6,0.0,0.0,0.0,21.6,7.40
12,Dallas Cowboys,DST,14,DAL,NYG,0.0,2.4,0.0,0.8,0.6,0.0,0.0,0.0,18.9,7.40
13,Carolina Panthers,DST,14,CAR,MIN,0.0,2.4,0.0,0.7,0.5,0.0,0.0,0.0,20.3,7.00
14,Los Angeles Rams,DST,14,LAR,PHI,0.0,3.0,0.0,0.8,0.6,0.0,0.0,0.0,23.3,7.00
15,New York Jets,DST,14,NYJ,DEN,0.0,2.6,0.0,0.9,0.6,0.0,0.0,0.0,23.9,6.80
16,San Francisco 49ers,DST,14,SF,HOU,0.0,2.6,0.0,0.8,0.6,0.0,0.0,0.0,23.2,6.60
17,Tampa Bay Buccaneers,DST,14,TB,DET,0.0,2.1,0.0,0.9,0.7,0.0,0.0,0.0,22.8,6.50
18,Houston Texans,DST,14,HOU,SF,0.0,2.4,0.0,0.8,0.6,0.0,0.0,0.0,21.5,6.40
19,Detroit Lions,DST,14,DET,TB,0.0,2.0,0.0,0.9,0.7,0.0,0.0,0.0,23.1,6.40
20,Philadelphia Eagles,DST,14,PHI,LAR,0.0,2.4,0.0,0.8,0.6,0.0,0.0,0.0,22.3,6.40
21,Arizona Cardinals,DST,14,ARI,TEN,0.0,2.3,0.0,0.9,0.5,0.0,0.0,0.0,21.3,6.30
22,Indianapolis Colts,DST,14,IND,BUF,0.0,2.0,0.0,0.9,0.6,0.0,0.0,0.0,21.5,6.20
23,Cleveland Browns,DST,14,CLE,GB,0.0,2.8,0.0,0.9,0.5,0.0,0.0,0.0,21.2,6.20
24,Baltimore Ravens,DST,14,BAL,PIT,0.0,1.9,0.0,1.0,0.5,0.0,0.0,0.0,23.8,6.10
25,New York Giants,DST,14,NYG,DAL,0.0,1.9,0.0,0.6,0.5,0.0,0.0,0.0,22.4,5.30
26,Chicago Bears,DST,14,CHI,CIN,0.0,2.1,0.0,0.7,0.4,0.0,0.0,0.0,22.5,4.90
27,Kansas City Chiefs,DST,14,KC,OAK,0.0,1.7,0.0,0.7,0.6,0.0,0.0,0.0,22.4,4.90
28,Washington Redskins,DST,14,WAS,LAC,0.0,1.9,0.0,0.8,0.4,0.0,0.0,0.0,26.5,4.90
29,New Orleans Saints,DST,14,NO,ATL,0.0,2.0,0.0,0.7,0.4,0.0,0.0,0.0,26.7,4.80
30,Oakland Raiders,DST,14,OAK,KC,0.0,2.2,0.0,0.4,0.4,0.0,0.0,0.0,26.2,4.40
31,Atlanta Falcons,DST,14,ATL,NO,0.0,1.7,0.0,0.5,0.5,0.0,0.0,0.0,24.6,4.30
32,Miami Dolphins,DST,14,MIA,NE,0.0,2.1,0.0,0.5,0.5,0.0,0.0,0.0,29.7,3.70
