Rk,Player,Pos,Week,Team,Opp,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Jacksonville Jaguars,DST,9,JAX,CIN,0.0,3.6,0.0,1.1,0.7,0.0,0.0,0.0,16.0,9.40
2,Philadelphia Eagles,DST,9,PHI,DEN,0.0,2.9,0.0,1.2,0.8,0.0,0.0,0.0,16.1,9.10
3,Arizona Cardinals,DST,9,ARI,SF,0.0,2.8,0.0,1.2,0.6,0.0,0.0,0.0,18.1,8.60
4,Houston Texans,DST,9,HOU,IND,0.0,3.1,0.0,0.8,0.7,0.1,0.0,0.0,19.5,8.50
5,Buffalo Bills,DST,9,BUF,NYJ,0.0,2.7,0.0,1.0,0.7,0.0,0.0,0.0,18.4,8.30
6,San Francisco 49ers,DST,9,SF,ARI,0.0,2.1,0.0,1.2,0.7,0.0,0.0,0.0,20.4,8.10
7,Los Angeles Rams,DST,9,LAR,NYG,0.0,2.4,0.0,1.1,0.6,0.0,0.0,0.0,18.6,8.00
8,Detroit Lions,DST,9,DET,GB,0.0,2.0,0.0,1.5,0.6,0.0,0.0,0.0,21.8,8.00
9,Seattle Seahawks,DST,9,SEA,WAS,0.0,2.5,0.0,0.9,0.7,0.0,0.0,0.0,19.3,7.90
10,Green Bay Packers,DST,9,GB,DET,0.0,2.5,0.0,0.7,0.7,0.0,0.0,0.0,19.8,7.50
11,Tennessee Titans,DST,9,TEN,BAL,0.0,2.0,0.0,0.9,0.7,0.0,0.0,0.0,19.7,7.40
12,New Orleans Saints,DST,9,NO,TB,0.0,2.3,0.0,1.1,0.7,0.0,0.0,0.0,22.7,7.10
13,Oakland Raiders,DST,9,OAK,MIA,0.0,2.1,0.0,0.8,0.5,0.0,0.0,0.0,20.5,6.90
14,Atlanta Falcons,DST,9,ATL,CAR,0.0,2.4,0.0,0.9,0.5,0.0,0.0,0.0,20.8,6.40
15,New York Giants,DST,9,NYG,LAR,0.0,1.8,0.0,0.9,0.8,0.0,0.0,0.0,21.8,6.40
16,Denver Broncos,DST,9,DEN,PHI,0.0,2.5,0.0,0.7,0.6,0.0,0.0,0.0,23.3,6.30
17,Carolina Panthers,DST,9,CAR,ATL,0.0,2.6,0.0,0.6,0.6,0.0,0.0,0.0,21.5,6.20
18,Washington Redskins,DST,9,WAS,SEA,0.0,2.6,0.0,0.7,0.5,0.0,0.0,0.0,25.9,6.20
19,Indianapolis Colts,DST,9,IND,HOU,0.0,2.0,0.0,0.8,0.6,0.0,0.0,0.0,25.9,6.00
20,Cincinnati Bengals,DST,9,CIN,JAX,0.0,2.2,0.0,0.7,0.6,0.0,0.0,0.0,23.0,6.00
21,Baltimore Ravens,DST,9,BAL,TEN,0.0,1.9,0.0,0.8,0.5,0.0,0.0,0.0,21.4,5.70
22,Kansas City Chiefs,DST,9,KC,DAL,0.0,1.8,0.0,0.7,0.5,0.1,0.0,0.0,27.0,5.60
23,Miami Dolphins,DST,9,MIA,OAK,0.0,1.9,0.0,0.7,0.4,0.0,0.0,0.0,23.2,5.30
24,Dallas Cowboys,DST,9,DAL,KC,0.0,2.6,0.0,0.4,0.4,0.0,0.0,0.0,26.8,4.80
25,New York Jets,DST,9,NYJ,BUF,0.0,1.9,0.0,0.5,0.5,0.0,0.0,0.0,22.5,4.50
26,Tampa Bay Buccaneers,DST,9,TB,NO,0.0,1.3,0.0,0.8,0.5,0.0,0.0,0.0,30.0,4.10
