Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Wil Lutz,K,11,NO,WAS,2.1,2.2,100.0,0.0,3.5,3.5,9.80
2,Stephen Gostkowski,K,11,NE,OAK,2.1,2.2,100.0,0.0,3.5,3.5,9.80
3,Greg Zuerlein,K,11,LAR,MIN,2.2,2.3,100.0,0.0,2.3,2.3,8.90
4,Chris Boswell,K,11,PIT,TEN,2.0,2.1,100.0,0.0,2.7,2.7,8.70
5,Jake Elliott,K,11,PHI,DAL,2.0,2.2,100.0,0.0,2.7,2.7,8.70
6,Harrison Butker,K,11,KC,NYG,1.9,1.9,100.0,0.0,2.9,2.9,8.60
7,Kai Forbath,K,11,MIN,LAR,2.0,2.0,100.0,0.0,2.4,2.4,8.40
8,Blair Walsh,K,11,SEA,ATL,1.9,2.0,100.0,0.0,2.6,2.6,8.30
9,Matt Prater,K,11,DET,CHI,2.0,2.0,100.0,0.0,2.1,2.1,8.10
10,Matt Bryant,K,11,ATL,SEA,1.9,2.0,100.0,0.0,2.2,2.2,7.90
11,Nick Rose,K,11,WAS,NO,1.9,2.0,100.0,0.0,2.1,2.1,7.80
12,Justin Tucker,K,11,BAL,GB,1.9,2.0,100.0,0.0,2.0,2.0,7.70
13,Brandon McManus,K,11,DEN,CIN,1.9,2.1,100.0,0.0,2.0,2.0,7.70
14,Josh Lambo,K,11,JAX,CLE,1.7,1.7,100.0,0.0,2.6,2.6,7.70
15,Ryan Succop,K,11,TEN,PIT,1.8,1.8,100.0,0.0,1.9,1.9,7.30
16,Steven Hauschka,K,11,BUF,LAC,1.8,1.8,100.0,0.0,1.7,1.7,7.10
17,Nick Novak,K,11,LAC,BUF,1.5,1.6,100.0,0.0,2.3,2.3,6.80
18,Giorgio Tavecchio,K,11,OAK,NE,1.4,1.5,50.0,0.0,2.5,2.5,6.70
19,Patrick Murray,K,11,TB,MIA,1.6,1.7,100.0,0.0,1.8,1.8,6.60
20,Mike Nugent,K,11,DAL,PHI,1.4,1.5,50.0,0.0,2.2,2.2,6.40
21,Mason Crosby,K,11,GB,BAL,1.3,1.4,100.0,0.0,2.1,2.1,6.00
22,Phil Dawson,K,11,ARI,HOU,1.3,1.4,100.0,0.0,2.0,2.0,5.90
23,Cody Parkey,K,11,MIA,TB,1.1,1.1,100.0,0.0,2.0,2.0,5.30
24,Ka'imi Fairbairn,K,11,HOU,ARI,1.1,1.2,100.0,0.0,1.9,1.9,5.20
25,Randy Bullock,K,11,CIN,DEN,1.1,1.2,100.0,0.0,1.9,1.9,5.20
26,Connor Barth,K,11,CHI,DET,1.0,1.1,100.0,0.0,1.9,1.9,4.90
27,Aldrick Rosas,K,11,NYG,KC,1.0,1.2,100.0,0.0,1.9,1.9,4.90
28,Zane Gonzalez,K,11,CLE,JAX,1.0,1.1,100.0,0.0,1.5,1.5,4.50
29,Dustin Hopkins,K,11,WAS,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.00
30,Sebastian Janikowski,K,11,OAK,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.00
31,Dan Bailey,K,11,DAL,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.00
32,Caleb Sturgis,K,11,PHI,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.00
33,Nick Folk,K,11,TB,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.00
