Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,Antonio Brown,WR,12,PIT,GB,10.3,6.3,60.0,90.1,0.6,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,12.61
2,Julio Jones,WR,12,ATL,TB,8.5,5.9,75.0,85.1,0.4,0.0,10.6,14.2,0.0,0.0,0.0,0.0,0.0,10.91
3,AJ Green,WR,12,CIN,CLE,7.2,5.0,71.4,72.2,0.6,0.0,10.3,14.4,0.0,0.0,0.0,0.0,0.0,10.82
4,Mike Evans,WR,12,TB,ATL,7.4,4.9,71.4,75.4,0.5,0.0,10.7,15.0,0.0,0.0,0.0,0.0,0.0,10.54
5,Michael Thomas,WR,12,NO,LAR,10.3,6.7,70.0,81.3,0.4,0.0,8.1,11.6,0.0,0.0,0.0,0.0,0.0,10.53
6,Keenan Allen,WR,12,LAC,DAL,10.2,6.0,60.0,73.5,0.4,0.0,7.4,12.3,0.0,0.7,0.0,0.0,0.0,9.82
7,Adam Thielen,WR,12,MIN,DET,7.0,5.2,71.4,73.6,0.4,0.0,10.6,14.8,0.0,0.1,0.0,0.0,0.0,9.77
8,Doug Baldwin,WR,12,SEA,SF,8.2,5.2,62.5,73.0,0.4,0.0,9.1,14.6,0.1,0.1,0.0,0.0,0.0,9.71
9,DeAndre Hopkins,WR,12,HOU,BAL,8.6,5.1,55.6,72.7,0.4,0.0,8.1,14.6,0.0,0.0,0.0,0.0,0.0,9.67
10,Brandin Cooks,WR,12,NE,MIA,7.0,4.9,71.4,70.2,0.4,0.0,10.0,14.0,0.2,0.3,0.0,0.0,0.0,9.45
11,Dez Bryant,WR,12,DAL,LAC,7.8,5.1,62.5,62.2,0.5,0.0,7.8,12.4,0.1,0.0,0.0,0.0,0.0,9.22
12,Alshon Jeffery,WR,12,PHI,CHI,7.0,4.7,71.4,65.3,0.4,0.0,9.3,13.0,0.0,0.0,0.0,0.0,0.0,8.93
13,Jarvis Landry,WR,12,MIA,NE,10.5,5.9,60.0,64.0,0.4,0.0,6.4,10.7,0.1,0.1,0.0,0.0,0.0,8.81
14,TY Hilton,WR,12,IND,TEN,6.6,4.6,71.4,69.9,0.3,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,8.79
15,Tyreek Hill,WR,12,KC,BUF,6.9,4.9,71.4,61.2,0.3,0.0,8.7,12.2,1.7,8.2,0.0,0.0,0.0,8.74
16,Demaryius Thomas,WR,12,DEN,OAK,7.3,5.0,71.4,62.7,0.4,0.0,9.0,12.6,0.0,0.0,0.0,0.0,0.0,8.67
17,Marvin Jones,WR,12,DET,MIN,6.7,4.0,57.1,61.0,0.4,0.0,8.7,15.2,0.0,0.0,0.0,0.0,0.0,8.50
18,Davante Adams,WR,12,GB,PIT,6.7,5.0,71.4,60.6,0.4,0.0,8.7,12.2,0.0,0.1,0.0,0.0,0.0,8.47
19,Devin Funchess,WR,12,CAR,NYJ,7.3,4.7,71.4,60.5,0.4,0.0,8.6,12.0,0.0,0.1,0.0,0.0,0.0,8.46
20,Golden Tate,WR,12,DET,MIN,8.3,5.2,62.5,66.3,0.3,0.0,8.2,13.2,0.1,0.1,0.0,0.0,0.0,8.44
21,Larry Fitzgerald,WR,12,ARI,JAX,7.5,5.5,75.0,66.4,0.3,0.0,8.2,11.0,0.0,0.0,0.0,0.0,0.0,8.44
22,Stefon Diggs,WR,12,MIN,DET,7.4,4.3,57.1,59.5,0.4,0.0,8.6,15.0,0.1,0.5,0.0,0.0,0.0,8.40
23,Jamison Crowder,WR,12,WAS,NYG,9.6,5.4,50.0,63.9,0.3,0.0,6.4,12.8,0.5,1.9,0.0,0.0,0.0,8.38
24,Emmanuel Sanders,WR,12,DEN,OAK,6.5,4.5,57.1,61.2,0.3,0.0,8.7,15.2,0.0,0.0,0.0,0.0,0.0,7.92
25,Robby Anderson,WR,12,NYJ,CAR,5.2,3.9,80.0,54.3,0.4,0.0,10.8,13.5,0.1,0.3,0.0,0.0,0.0,7.86
26,Cooper Kupp,WR,12,LAR,NO,6.5,4.7,83.3,57.4,0.3,0.0,9.5,11.4,0.0,0.1,0.0,0.0,0.0,7.55
27,Devante Parker,WR,12,MIA,NE,6.2,4.1,66.7,57.3,0.3,0.0,9.5,14.2,0.0,0.0,0.0,0.0,0.0,7.53
28,Michael Crabtree,WR,12,OAK,DEN,7.3,4.8,71.4,57.3,0.3,0.0,8.1,11.4,0.0,0.0,0.0,0.0,0.0,7.53
29,Josh Doctson,WR,12,WAS,NYG,5.9,3.8,66.7,53.8,0.3,0.0,9.0,13.5,0.0,0.1,0.0,0.0,0.0,7.19
30,Jeremy Maclin,WR,12,BAL,HOU,6.4,4.0,66.7,53.6,0.3,0.0,9.0,13.5,0.0,0.0,0.0,0.0,0.0,7.16
31,Kenny Stills,WR,12,MIA,NE,6.0,3.9,66.7,52.4,0.3,0.0,8.7,13.0,0.0,0.0,0.0,0.0,0.0,7.04
32,Corey Davis,WR,12,TEN,IND,5.9,3.7,66.7,52.0,0.3,0.0,8.7,13.0,0.0,0.2,0.0,0.0,0.0,7.02
33,Mohamed Sanu,WR,12,ATL,TB,7.1,4.0,57.1,44.8,0.4,0.0,6.4,11.2,0.0,0.5,0.0,0.0,0.0,6.93
34,Ted Ginn,WR,12,NO,LAR,5.4,3.2,60.0,49.0,0.3,0.0,9.8,16.3,0.3,0.9,0.0,0.0,0.0,6.79
35,Sammy Watkins,WR,12,LAR,NO,4.2,3.1,75.0,49.7,0.3,0.0,12.5,16.7,0.0,0.0,0.0,0.0,0.0,6.77
36,Paul Richardson,WR,12,SEA,SF,5.0,3.7,80.0,49.7,0.3,0.0,10.0,12.5,0.0,0.0,0.0,0.0,0.0,6.77
37,Amari Cooper,WR,12,OAK,DEN,5.6,4.0,66.7,49.5,0.3,0.0,8.3,12.5,0.0,0.2,0.0,0.0,0.0,6.77
38,DeSean Jackson,WR,12,TB,ATL,5.2,3.2,60.0,48.1,0.3,0.0,9.6,16.0,0.1,0.1,0.0,0.0,0.0,6.62
39,Martavis Bryant,WR,12,PIT,GB,5.4,3.2,60.0,45.3,0.3,0.0,9.0,15.0,0.2,1.0,0.0,0.0,0.0,6.43
40,Nelson Agholor,WR,12,PHI,CHI,4.7,3.0,60.0,39.9,0.4,0.0,8.0,13.3,0.0,0.1,0.0,0.0,0.0,6.40
41,Corey Coleman,WR,12,CLE,CIN,6.8,3.8,57.1,50.2,0.2,0.0,7.1,12.5,0.1,0.4,0.0,0.0,0.0,6.26
42,Danny Amendola,WR,12,NE,MIA,7.1,4.1,57.1,44.5,0.3,0.0,6.3,11.0,0.0,0.0,0.0,0.0,0.0,6.25
43,Marqise Lee,WR,12,JAX,ARI,6.2,4.3,66.7,49.8,0.2,0.0,8.3,12.5,0.1,0.1,0.0,0.0,0.0,6.19
44,Mike Wallace,WR,12,BAL,HOU,4.6,3.0,60.0,42.6,0.3,0.0,8.6,14.3,0.1,0.1,0.0,0.0,0.0,6.07
45,Brandon LaFell,WR,12,CIN,CLE,4.9,3.4,60.0,41.3,0.3,0.0,8.2,13.7,0.0,0.0,0.0,0.0,0.0,5.93
46,Tyler Lockett,WR,12,SEA,SF,4.2,3.1,75.0,41.8,0.3,0.0,10.5,14.0,0.8,1.1,0.0,0.1,0.1,5.89
47,Jordy Nelson,WR,12,GB,PIT,5.7,3.3,50.0,40.4,0.3,0.0,6.7,13.3,0.0,0.0,0.0,0.0,0.0,5.84
48,Marquise Goodwin,WR,12,SF,SEA,3.5,2.2,66.7,43.2,0.2,0.0,14.3,21.5,0.1,0.5,0.0,0.0,0.0,5.57
49,Dontrelle Inman,WR,12,CHI,PHI,6.2,3.6,66.7,43.7,0.2,0.0,7.3,11.0,0.0,0.0,0.0,0.0,0.0,5.57
50,Kenny Golladay,WR,12,DET,MIN,4.1,2.4,50.0,36.1,0.3,0.0,9.0,18.0,0.0,0.2,0.0,0.0,0.0,5.43
