Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Stephen Gostkowski,K,8,NE,LAC,2.1,2.1,100.0,0.0,3.5,3.5,9.80
2,Wil Lutz,K,8,NO,CHI,2.0,2.2,100.0,0.0,3.0,3.0,9.00
3,Jake Elliott,K,8,PHI,SF,2.0,2.2,100.0,0.0,3.0,3.0,9.00
4,Steven Hauschka,K,8,BUF,OAK,2.2,2.2,100.0,0.0,2.1,2.1,8.70
5,Randy Bullock,K,8,CIN,IND,2.0,2.1,100.0,0.0,2.7,2.7,8.70
6,Harrison Butker,K,8,KC,DEN,2.0,2.1,100.0,0.0,2.5,2.5,8.50
7,Kai Forbath,K,8,MIN,CLE,1.9,2.0,100.0,0.0,2.5,2.5,8.20
8,Blair Walsh,K,8,SEA,HOU,1.9,2.0,100.0,0.0,2.4,2.4,8.10
9,Chris Boswell,K,8,PIT,DET,1.9,2.0,100.0,0.0,2.4,2.4,8.10
10,Justin Tucker,K,8,BAL,MIA,1.9,2.0,100.0,0.0,2.3,2.3,8.00
11,Matt Bryant,K,8,ATL,NYJ,1.8,1.9,100.0,0.0,2.6,2.6,8.00
12,Graham Gano,K,8,CAR,TB,1.8,1.8,100.0,0.0,2.4,2.4,7.80
13,Nick Rose,K,8,WAS,DAL,1.7,1.7,100.0,0.0,2.3,2.3,7.40
14,Mike Nugent,K,8,DAL,WAS,1.5,1.5,100.0,0.0,2.7,2.7,7.20
15,Patrick Murray,K,8,TB,CAR,1.5,1.8,100.0,0.0,2.3,2.3,6.80
16,Matt Prater,K,8,DET,PIT,1.6,1.7,100.0,0.0,1.9,1.9,6.70
17,Nick Novak,K,8,LAC,NE,1.5,1.6,100.0,0.0,2.2,2.2,6.70
18,Adam Vinatieri,K,8,IND,CIN,1.6,1.6,100.0,0.0,1.7,1.7,6.50
19,Giorgio Tavecchio,K,8,OAK,BUF,1.5,1.6,100.0,0.0,2.0,2.0,6.50
20,Ka'imi Fairbairn,K,8,HOU,SEA,1.5,1.5,100.0,0.0,1.8,1.8,6.30
21,Brandon McManus,K,8,DEN,KC,1.3,1.6,50.0,0.0,1.9,1.9,5.80
22,Chandler Catanzaro,K,8,NYJ,ATL,1.2,1.2,100.0,0.0,2.0,2.0,5.60
23,Robbie Gould,K,8,SF,PHI,1.3,1.3,100.0,0.0,1.7,1.7,5.60
24,Connor Barth,K,8,CHI,NO,1.1,1.2,100.0,0.0,2.0,2.0,5.30
25,Cody Parkey,K,8,MIA,BAL,1.1,1.1,100.0,0.0,1.9,1.9,5.20
26,Zane Gonzalez,K,8,CLE,MIN,0.9,1.1,100.0,0.0,1.4,1.4,4.10
27,Sebastian Janikowski,K,8,OAK,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.00
28,Caleb Sturgis,K,8,PHI,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.00
29,Nick Folk,K,8,TB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.00
30,Dan Bailey,K,8,DAL,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.00
31,Dustin Hopkins,K,8,WAS,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.00
