Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
1,Russell Wilson,QB,9,SEA,WAS,23.5,35.3,68.6,278.7,8.0,2.1,0.8,99.6,4.7,15.5,3.2,0.1,19.70
2,Drew Brees,QB,9,NO,TB,25.5,37.7,68.4,299.6,7.9,2.2,0.7,98.6,1.6,0.9,0.5,0.0,19.07
3,Dak Prescott,QB,9,DAL,KC,20.4,32.2,62.5,243.9,7.6,2.0,0.7,93.8,4.0,21.6,5.5,0.1,18.72
4,Alex Smith,QB,9,KC,DAL,22.8,33.3,69.7,255.3,7.7,1.9,0.6,99.9,3.7,17.5,4.5,0.1,18.36
5,Jameis Winston,QB,9,TB,NO,23.5,39.5,60.0,274.7,6.9,1.7,1.0,87.0,2.6,9.9,3.3,0.0,16.38
6,Derek Carr,QB,9,OAK,MIA,23.8,36.8,64.9,257.5,7.0,1.9,0.8,92.0,1.9,2.2,1.0,0.0,16.12
7,Cam Newton,QB,9,CAR,ATL,20.0,34.0,58.8,222.0,6.5,1.3,1.0,75.9,6.4,31.3,5.2,0.2,16.01
8,Matthew Stafford,QB,9,DET,GB,23.1,37.0,62.2,260.4,7.0,1.7,0.9,89.9,2.4,7.2,3.5,0.0,15.54
9,Tyrod Taylor,QB,9,BUF,NYJ,18.6,28.4,67.9,212.1,7.6,1.3,0.5,102.1,5.9,25.7,4.3,0.1,15.45
10,Matt Ryan,QB,9,ATL,CAR,22.5,35.3,62.9,257.2,7.3,1.6,0.8,92.2,2.0,3.6,2.0,0.0,15.05
11,Carson Wentz,QB,9,PHI,DEN,20.1,34.1,58.8,231.6,6.8,1.5,1.0,86.9,4.3,18.9,4.8,0.0,14.55
12,Marcus Mariota,QB,9,TEN,BAL,19.5,31.3,64.5,223.6,7.2,1.4,0.9,83.3,4.1,16.5,4.0,0.1,14.39
13,Kirk Cousins,QB,9,WAS,SEA,22.3,36.5,61.1,254.8,7.1,1.5,1.0,89.5,2.6,6.6,2.3,0.0,14.25
14,Jared Goff,QB,9,LAR,NYG,19.9,32.9,60.6,242.8,7.4,1.5,0.9,90.9,2.4,6.4,3.0,0.0,14.15
15,Jacoby Brissett,QB,9,IND,HOU,19.3,33.7,55.9,229.0,6.7,1.3,1.0,74.3,4.2,15.9,4.0,0.1,13.95
16,Josh McCown,QB,9,NYJ,BUF,22.4,34.5,64.7,250.8,7.4,1.4,1.1,84.3,2.4,4.8,2.5,0.0,13.31
17,Eli Manning,QB,9,NYG,LAR,22.7,36.3,63.9,243.5,6.8,1.5,1.2,90.5,1.3,1.4,1.0,0.0,13.08
18,Jay Cutler,QB,9,MIA,OAK,20.1,32.6,60.6,230.7,7.0,1.3,1.0,79.2,1.9,2.6,1.5,0.0,12.29
19,Brett Hundley,QB,9,GB,DET,18.5,32.0,56.2,195.7,6.1,1.1,1.2,71.9,4.6,22.3,4.4,0.1,12.26
20,Joe Flacco,QB,9,BAL,TEN,21.8,35.3,62.9,215.9,6.2,1.3,0.9,77.8,1.6,1.5,1.0,0.0,11.79
21,Tom Savage,QB,9,HOU,IND,18.6,29.8,63.3,214.2,7.1,1.3,0.9,81.8,2.4,3.4,1.5,0.0,11.71
22,CJ Beathard,QB,9,SF,ARI,19.0,33.6,55.9,211.5,6.2,1.0,1.1,72.2,3.1,17.5,6.0,0.0,11.61
23,Blake Bortles,QB,9,JAX,CIN,16.2,28.5,57.1,177.6,6.4,1.1,0.9,73.2,3.7,20.2,5.0,0.0,11.32
24,Drew Stanton,QB,9,ARI,SF,18.8,34.4,55.9,213.9,6.3,1.2,1.2,72.4,2.1,2.8,1.5,0.0,10.84
25,Andy Dalton,QB,9,CIN,JAX,17.9,32.0,56.2,201.5,6.3,1.1,1.2,72.7,2.8,10.1,3.3,0.0,10.47
26,Brock Osweiler,QB,9,DEN,PHI,19.6,34.7,57.1,212.3,6.1,1.0,1.2,72.6,1.7,3.2,1.5,0.0,10.01
27,Trevor Siemian,QB,9,DEN,PHI,3.2,4.6,60.0,31.5,6.4,0.1,0.2,78.8,0.3,1.3,0.0,0.0,1.39
28,Blaine Gabbert,QB,9,ARI,SF,1.0,1.7,50.0,13.8,7.0,0.1,0.1,72.9,0.2,0.8,0.0,0.0,0.83
29,Jimmy Garoppolo,QB,9,SF,ARI,1.1,1.8,50.0,14.4,7.0,0.1,0.1,72.9,0.1,0.5,0.0,0.0,0.83
30,Ryan Mallett,QB,9,BAL,TEN,0.5,0.8,0.0,6.7,7.0,0.0,0.0,56.3,0.1,0.4,0.0,0.0,0.31
31,Bryce Petty,QB,9,NYJ,BUF,0.5,0.8,0.0,6.0,6.0,0.0,0.0,52.1,0.0,0.1,0.0,0.0,0.25
32,Geno Smith,QB,9,NYG,LAR,0.4,0.6,0.0,4.9,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.21
33,Matt Moore,QB,9,MIA,OAK,0.4,0.6,0.0,4.9,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.21
34,Nick Foles,QB,9,PHI,DEN,0.4,0.6,0.0,4.8,5.0,0.0,0.0,47.9,0.1,0.1,0.0,0.0,0.20
35,Austin Davis,QB,9,SEA,WAS,0.3,0.6,0.0,4.6,5.0,0.0,0.0,47.9,0.0,0.2,0.0,0.0,0.20
36,AJ McCarron,QB,9,CIN,JAX,0.3,0.6,0.0,4.6,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.19
37,Colt McCoy,QB,9,WAS,SEA,0.3,0.6,0.0,4.5,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.19
38,EJ Manuel,QB,9,OAK,MIA,0.3,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.19
39,Matt Schaub,QB,9,ATL,CAR,0.3,0.5,0.0,4.2,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.18
40,Ryan Fitzpatrick,QB,9,TB,NO,0.3,0.5,0.0,4.1,4.0,0.0,0.0,43.8,0.0,0.1,0.0,0.0,0.17
41,Chase Daniel,QB,9,NO,TB,0.3,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.17
