Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Stephen Gostkowski,K,17,NE,NYJ,2.0,2.1,100.0,0.0,3.2,3.2,9.20
2,Matt Bryant,K,17,ATL,CAR,2.0,2.1,100.0,0.0,2.7,2.7,8.70
3,Wil Lutz,K,17,NO,TB,1.9,2.1,100.0,0.0,2.9,2.9,8.60
4,Josh Lambo,K,17,JAX,TEN,2.0,2.1,100.0,0.0,2.6,2.6,8.60
5,Matt Prater,K,17,DET,GB,2.0,2.0,100.0,0.0,2.5,2.5,8.50
6,Justin Tucker,K,17,BAL,CIN,2.1,2.2,100.0,0.0,2.1,2.1,8.40
7,Kai Forbath,K,17,MIN,CHI,2.0,2.1,100.0,0.0,2.4,2.4,8.40
8,Robbie Gould,K,17,SF,LAR,2.0,2.1,100.0,0.0,2.4,2.4,8.40
9,Adam Vinatieri,K,17,IND,HOU,2.0,2.1,100.0,0.0,2.2,2.2,8.20
10,Chris Boswell,K,17,PIT,CLE,1.9,2.1,100.0,0.0,2.4,2.4,8.10
11,Steven Hauschka,K,17,BUF,MIA,1.9,2.0,100.0,0.0,2.2,2.2,7.90
12,Patrick Murray,K,17,TB,NO,1.9,2.0,100.0,0.0,2.0,2.0,7.70
13,Graham Gano,K,17,CAR,ATL,1.8,2.0,100.0,0.0,2.2,2.2,7.60
14,Ryan Succop,K,17,TEN,JAX,1.9,2.1,100.0,0.0,1.9,1.9,7.60
15,Brandon McManus,K,17,DEN,KC,1.8,2.0,100.0,0.0,2.2,2.2,7.60
16,Dustin Hopkins,K,17,WAS,NYG,1.7,1.9,100.0,0.0,2.3,2.3,7.40
17,Dan Bailey,K,17,DAL,PHI,1.6,1.7,100.0,0.0,2.6,2.6,7.40
18,Harrison Butker,K,17,KC,DEN,1.8,1.9,100.0,0.0,1.8,1.8,7.20
19,Phil Dawson,K,17,ARI,SEA,1.8,2.0,100.0,0.0,1.6,1.6,7.00
20,Ka'imi Fairbairn,K,17,HOU,IND,1.7,1.9,100.0,0.0,1.8,1.8,6.90
21,Cody Parkey,K,17,MIA,BUF,1.5,1.6,100.0,0.0,2.3,2.3,6.80
22,Jake Elliott,K,17,PHI,DAL,1.5,1.6,100.0,0.0,2.3,2.3,6.80
23,Blair Walsh,K,17,SEA,ARI,1.5,1.6,100.0,0.0,2.2,2.2,6.70
24,Nick Rose,K,17,LAC,OAK,1.4,1.5,50.0,0.0,2.5,2.5,6.70
25,Mason Crosby,K,17,GB,DET,1.4,1.5,50.0,0.0,2.3,2.3,6.50
26,Giorgio Tavecchio,K,17,OAK,LAC,1.3,1.3,100.0,0.0,2.1,2.1,6.00
27,Chandler Catanzaro,K,17,NYJ,NE,1.4,1.5,50.0,0.0,1.7,1.7,5.90
28,Aldrick Rosas,K,17,NYG,WAS,1.3,1.4,100.0,0.0,1.9,1.9,5.80
29,Mike Nugent,K,17,CHI,MIN,1.3,1.4,100.0,0.0,1.6,1.6,5.50
30,Randy Bullock,K,17,CIN,BAL,1.0,1.1,100.0,0.0,1.8,1.8,4.80
31,Zane Gonzalez,K,17,CLE,PIT,1.0,1.1,100.0,0.0,1.4,1.4,4.40
32,Caleb Sturgis,K,17,PHI,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.00
33,Nick Folk,K,17,TB,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.00
34,Sebastian Janikowski,K,17,OAK,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.00
35,Greg Zuerlein,K,17,LAR,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.00
36,Nick Novak,K,17,LAC,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.00
37,Cairo Santos,K,17,CHI,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.00
