PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Patriots ,Hou,W 36-33,0,3.2,1,0.5,1.2,0.1,0.1,9.2
Dolphins ,@NYJ,L 6-20,0,3.1,1.5,0.8,0.9,0.1,0.1,9.2
Browns ,@Ind,L 28-31,0,2.7,1.3,0.6,1.2,0.1,0.1,7.8
Colts ,Cle,W 31-28,0,2.9,1,0.5,1.1,0.1,0.1,7.7
Chiefs ,@LAC,W 24-10,0,2.5,1.2,0.6,1.1,0.1,0.1,7.6
Ravens ,@Jax,L 7-44,0,2.3,1.2,0.6,0.7,0.1,0.1,7.4
Buccaneers ,@Min,L 17-34,0,2.6,1.1,0.6,1.1,0.1,0.1,7.3
Jaguars ,Bal,W 44-7,0,2,1.2,0.6,1.1,0.1,0.1,7.3
Steelers ,@Chi,L 17-23,0,2.7,1.4,0.7,0.8,0.1,0.1,7.1
Rams ,@SF,W 41-39,0,2.2,1.2,0.6,0.6,0.1,0.1,7
Vikings ,TB,W 34-17,0,2.6,0.9,0.4,0.9,0.1,0.1,6.9
Eagles ,NYG,W 27-24,0,2.1,1,0.5,1,0.1,0.1,6.8
Cowboys ,@Ari,W 28-17,0,2.2,1.7,0.9,1.1,0.1,0.1,6.7
Seahawks ,@Ten,L 27-33,0,2.1,1.3,0.7,0.8,0.1,0.1,6.3
49ers ,LAR,L 39-41,0,2.2,1.2,0.6,0.7,0.1,0.1,6.2
Panthers ,NO,L 13-34,0,2.4,1,0.5,1.1,0.1,0.1,6.2
Broncos ,@Buf,L 16-26,0,2.6,0.9,0.5,0.5,0.1,0.1,5.8
Packers ,Cin,W 27-24,0,2.3,0.9,0.5,1,0.1,0.1,5.7
Jets ,Mia,W 20-6,0,1.9,1.4,0.7,0.6,0.1,0.1,5.7
Titans ,Sea,W 33-27,0,3,1,0.5,0.6,0.1,0.1,5.6
Chargers ,KC,L 10-24,0,2.5,0.9,0.5,0.4,0,0.1,5.4
Bills ,Den,W 26-16,0,2.6,0.8,0.4,0.8,0.1,0.1,5.4
Falcons ,@Det,W 30-26,0,2.1,1,0.5,0.8,0.1,0.1,5.2
Giants ,@Phi,L 24-27,0,1.9,1.3,0.7,0.8,0.1,0.1,5.2
Bears ,Pit,W 23-17,0,1.9,0.9,0.5,0.9,0.1,0.1,5.1
Raiders ,@Wsh,L 10-27,0,1.7,1.4,0.7,0.7,0.1,0.1,5.1
Saints ,@Car,W 34-13,0,2.4,0.9,0.5,0.7,0.1,0.1,5
Cardinals ,Dal,L 17-28,0,1.9,1.2,0.6,0.6,0.1,0.1,4.6
Bengals ,@GB,L 24-27,0,2.3,1,0.5,0.5,0.1,0.1,4.6
Lions ,Atl,L 26-30,0,1.8,0.8,0.4,0.7,0.1,0.1,4.5
Redskins ,Oak,W 27-10,0,1.8,1.3,0.7,0.5,0.1,0.1,4.4
Texans ,@NE,L 33-36,0,2.3,0.8,0.4,0.4,0,0.1,4.2
