PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Cowboys ,@SF,W 40-10,0,3.2,1.1,0.5,1.4,0.1,0.1,9
Saints ,@GB,W 26-17,0,2.3,1.4,0.7,1.5,0.2,0.1,8.7
Dolphins ,NYJ,W 31-28,0,3.2,1.5,0.8,0.7,0.1,0.1,8.6
Jaguars ,@Ind,W 27-0,0,3.6,1.4,0.7,1,0.1,0.1,8.5
Titans ,@Cle,W 12-9,0,2.4,1.1,0.6,1.4,0.1,0.1,8.2
Bills ,TB,W 30-27,0,2.5,1.8,0.9,1.1,0.1,0.1,8.2
Vikings ,Bal,W 24-16,0,2.1,1.1,0.6,1.1,0.1,0.1,8.2
Panthers ,@Chi,L 3-17,0,3.2,1.5,0.8,0.5,0.1,0.1,7.9
Steelers ,Cin,W 29-14,0,2.5,1.1,0.6,0.7,0.1,0.1,7.5
Rams ,Ari,W 33-0,0,3,1.4,0.7,1.1,0.1,0.1,7.2
Broncos ,@LAC,L 0-21,0,2.3,0.9,0.5,1.1,0.1,0.1,7
Seahawks ,@NYG,W 24-7,0,1.8,1.3,0.7,1,0.1,0.1,6.6
Bears ,Car,W 17-3,0,2.6,1.1,0.6,0.7,0.1,0.1,6.5
Redskins ,@Phi,L 24-34,0,2.6,1.6,0.8,0.8,0.1,0.1,6.2
Ravens ,@Min,L 16-24,0,1.6,1.2,0.6,0.8,0.1,0.1,6.1
Chargers ,Den,W 21-0,0,2.9,1.1,0.6,0.7,0.1,0.1,5.8
Eagles ,Wsh,W 34-24,0,1.9,2,1,0.8,0.1,0.1,5.8
Buccaneers ,@Buf,L 27-30,0,2.4,0.7,0.4,0.5,0.1,0.1,5.4
Giants ,Sea,L 7-24,0,2.3,1.5,0.8,0.6,0.1,0.1,5.4
Bengals ,@Pit,L 14-29,0,2,0.8,0.4,1,0.1,0.1,5.2
Packers ,NO,L 17-26,0,1.8,1.1,0.6,0.9,0.1,0.1,5.1
Jets ,@Mia,L 28-31,0,1.4,1,0.5,0.7,0.1,0.1,5.1
Colts ,Jax,L 0-27,0,1.6,1.1,0.6,0.9,0.1,0.1,4.9
Patriots ,Atl,W 23-7,0,1.9,0.9,0.5,0.7,0.1,0.1,4.8
Cardinals ,@LAR,L 0-33,0,1.4,1.5,0.8,0.6,0.1,0.1,4.4
Chiefs ,@Oak,L 30-31,0,1.9,1.2,0.6,0.5,0.1,0.1,4.4
Browns ,Ten,L 9-12,0,1,0.9,0.5,0.5,0,0.1,4
49ers ,Dal,L 10-40,0,1.7,0.9,0.4,0.5,0,0.1,3.7
Falcons ,@NE,L 7-23,0,1.8,1.4,0.7,0.4,0,0.1,3.4
Raiders ,KC,W 31-30,0,2.3,0.8,0.4,0.2,0,0.1,3.4
Lions ,** BYE **,--,--,--,--,--,--,--,--
Texans ,** BYE **,--,--,--,--,--,--,--,--
