PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Tom Brady,Atl,W 23-7,25.5/39.1,297.8,2.2,0.4,2.3,2.7,0.1,0,0,0,20.4
Matt Ryan,@NE,L 7-23,24.9/37.3,305.7,1.8,0.7,2.1,7.3,0.1,0,0,0,19.1
Alex Smith,@Oak,L 30-31,21.8/32.9,245.3,1.5,0.2,3.4,16.8,0.1,0,0,0,17.8
Dak Prescott,@SF,W 40-10,20.2/31.4,235.5,1.6,0.5,3.5,16.1,0.2,0,0,0,17.7
Carson Wentz*,Wsh,W 34-24,22.2/36.3,281.2,1.7,0.8,3.2,10.8,0.1,0,0,0,17.4
Tyrod Taylor,TB,W 30-27,17.8/28.3,218.2,1.3,0.5,6,33.6,0.2,0,0,0,17.4
Russell Wilson,@NYG,W 24-7,21.4/33.4,250.4,1.4,0.6,5.1,25.7,0.1,0,0,0,17
Drew Brees,@GB,W 26-17,25.5/38.2,264.2,1.9,0.9,1.4,2,0.1,0,0,0,16.9
Marcus Mariota,@Cle,W 12-9,18.8/30.5,229.5,1.4,0.5,4.3,19.7,0.2,0,0,0,16.7
Carson Palmer*,@LAR,L 0-33,24.5/39.4,284.3,1.6,1,1.1,2.3,0,0,0,0,15.9
Derek Carr,KC,W 31-30,20.7/33.5,243,1.6,0.5,2.1,6.4,0.1,0,0,0,15.9
Kirk Cousins,@Phi,L 24-34,24.5/37.4,289.6,1.4,0.8,2,4.5,0.1,0,0,0,15.8
DeShone Kizer,Ten,L 9-12,21.1/36,226.8,1.4,1.4,5.7,26.4,0.3,0,0,0,15.4
Jameis Winston,@Buf,L 27-30,22.7/36.9,258.9,1.5,1.1,3,12.1,0.1,0,0,0,15.3
Blake Bortles,@Ind,W 27-0,18.6/31.1,221.6,1.4,0.9,3.6,21,0.1,0,0,0,15.3
Cam Newton,@Chi,L 3-17,18.8/31.7,211.1,1.3,0.7,4.8,20.9,0.2,0,0,0,15.2
Philip Rivers,Den,W 21-0,22.8/36.3,266.1,1.6,1.1,1.1,2.3,0,0,0,0,14.9
Ben Roethlisberger,Cin,W 29-14,22.3/34.5,250.2,1.4,1,1.6,3.3,0,0,0,0,14.4
Brett Hundley,NO,L 17-26,21.5/34.7,241.9,1.6,1.5,3.7,15,0.1,0,0,0,14.4
Trevor Siemian*,@LAC,L 0-21,21.4/34.8,237.1,1.3,0.7,2.2,8.1,0.1,0,0,0,14.2
Jared Goff,Ari,W 33-0,20.5/33.3,246.9,1.3,0.6,1.6,4.5,0.1,0,0,0,14.2
Eli Manning,Sea,L 7-24,24.5/38.9,265.7,1.4,1,1.1,2,0,0,0,0,14
Andy Dalton,@Pit,L 14-29,22.9/35.9,233.2,1.1,0.7,3.1,12.6,0.1,0,0,0,14
Jay Cutler,NYJ,W 31-28,19.4/30.3,210.8,1.3,0.7,2.2,9.2,0,0,0,0,13.4
Case Keenum,Bal,W 24-16,20.2/31.7,222.1,1.3,0.8,2,6.1,0.1,0,0,0,13.4
Josh McCown*,@Mia,L 28-31,20.2/32.5,229.1,1.1,0.7,3,12.9,0.1,0,0,0,13.2
Mitchell Trubisky,Car,W 17-3,19.8/31.1,206.7,1.1,0.5,2.9,14,0.1,0,0,0,12.5
Jacoby Brissett,Jax,L 0-27,18.7/31.1,201.5,0.9,1,4.7,23.1,0.2,0,0,0,12.4
C.J. Beathard,Dal,L 10-40,22.5/38.2,243.1,1.1,1.4,1.8,7.4,0.1,0,0,0,12.2
Joe Flacco,@Min,L 16-24,22.9/35.9,234.4,0.9,1.1,1.6,2.4,0.1,0,0,0,11.4
Jimmy Garoppolo,Dal,L 10-40,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Matt Schaub,@NE,L 7-23,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Joe Callahan,NO,L 17-26,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Cody Kessler,Ten,L 9-12,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Patrick Mahomes,@Oak,L 30-31,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Nick Foles,Wsh,W 34-24,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Drew Stanton,@LAR,L 0-33,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Chase Daniel,@GB,W 26-17,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
EJ Manuel,KC,W 31-30,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Kellen Moore,@SF,W 40-10,0.1/0.2,1.1,0,0,0,0,0,0,0,0,0.1
