PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Jaguars ,LAR,L 17-27,0,3.2,1.6,0.8,1.1,0.1,0.1,8.6
Broncos ,NYG,L 10-23,0,2,1.2,0.6,1.2,0.1,0.1,8.4
Redskins ,SF,W 26-24,0,2.6,1.2,0.6,0.9,0.1,0.1,8
Titans ,Ind,W 36-22,0,3.1,1.7,0.9,0.8,0.1,0.1,7.9
Ravens ,Chi,L 24-27,0,2.5,1.1,0.6,0.9,0.1,0.1,7.9
Falcons ,Mia,L 17-20,0,2.1,1.1,0.5,0.8,0.1,0.1,7.2
Patriots ,@NYJ,W 24-17,0,2.6,1.8,0.9,0.7,0.1,0.1,7.2
Panthers ,Phi,L 23-28,0,3,1.5,0.7,0.7,0.1,0.1,6.5
Eagles ,@Car,W 28-23,0,2.8,1.3,0.7,0.9,0.1,0.1,6.3
Rams ,@Jax,W 27-17,0,2.1,1,0.5,0.9,0.1,0.1,6.3
Buccaneers ,@Ari,L 33-38,0,2.3,1.4,0.7,1,0.1,0.1,6.2
Cardinals ,TB,W 38-33,0,1.7,1.9,1,1,0.1,0.1,6.1
Saints ,Det,W 52-38,0,2.5,1.4,0.7,0.7,0.1,0.1,5.7
Browns ,@Hou,L 17-33,0,2.2,1.1,0.6,1,0.1,0.1,5.7
Vikings ,GB,W 23-10,0,2.9,0.9,0.5,0.7,0.1,0.1,5.6
Chiefs ,Pit,L 13-19,0,2.1,0.8,0.4,1,0.1,0.1,5.5
Packers ,@Min,L 10-23,0,2.1,1.2,0.6,0.9,0.1,0.1,5.5
Bears ,@Bal,W 27-24,0,1.9,1,0.5,0.6,0.1,0.1,5.4
Texans ,Cle,W 33-17,0,1.4,0.9,0.4,0.5,0,0.1,5.3
Steelers ,@KC,W 19-13,0,2.6,0.8,0.4,0.3,0,0.1,5.3
Giants ,@Den,W 23-10,0,1.5,1,0.5,0.6,0.1,0.1,5.1
Raiders ,LAC,L 16-17,0,2,1,0.5,0.8,0.1,0.1,5
Chargers ,@Oak,W 17-16,0,2,1.1,0.5,0.3,0,0.1,4.9
Dolphins ,@Atl,W 20-17,0,2.3,1,0.5,0.5,0,0.1,4.6
49ers ,@Wsh,L 24-26,0,1.4,1.8,0.9,0.5,0.1,0.1,4.5
Lions ,@NO,L 38-52,0,1.5,1.1,0.5,1.2,0.1,0.1,3.7
Colts ,@Ten,L 22-36,0,1.2,1,0.5,0.7,0.1,0.1,3
Jets ,NE,L 17-24,0,1.4,1.3,0.7,0.5,0,0.1,0.8
Bills ,** BYE **,--,--,--,--,--,--,--,--
Bengals ,** BYE **,--,--,--,--,--,--,--,--
Cowboys ,** BYE **,--,--,--,--,--,--,--,--
Seahawks ,** BYE **,--,--,--,--,--,--,--,--
