PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Jaguars ,Hou,W 45-7,0,3.9,1.4,0.7,1.5,0.2,0.1,15.4
Saints ,NYJ,W 31-19,0,2.8,1.2,0.6,1.4,0.2,0.1,9.5
Ravens ,@Cle,W 27-10,0,2.6,1.1,0.6,1.4,0.1,0.1,9.3
Redskins ,Ari,W 20-15,0,3.2,1.3,0.6,1.2,0.1,0.1,8.6
Vikings ,Cin,W 34-7,0,2.2,0.7,0.4,0.6,0.1,0.1,8.5
Eagles ,@NYG,W 34-29,0,2.3,1.2,0.6,1,0.1,0.1,7.9
Rams ,@Sea,W 42-7,0,3.5,1.3,0.7,1,0.1,0.1,7.4
Falcons ,@TB,W 24-21,0,2.5,1.6,0.8,0.8,0.1,0.1,7.3
Bills ,Mia,W 24-16,0,2.2,1.1,0.6,1.2,0.1,0.1,7.2
Titans ,@SF,L 23-25,0,2.9,1.1,0.6,0.7,0.1,0.1,6.7
Lions ,Chi,W 20-10,0,2.2,1.4,0.7,0.6,0.1,0.1,6.3
Panthers ,GB,W 31-24,0,3.3,0.8,0.4,0.5,0,0.1,6.2
Cardinals ,@Wsh,L 15-20,0,2.1,1.3,0.7,0.7,0.1,0.1,6.2
Broncos ,@Ind,W 25-13,0,2.9,1.3,0.7,0.4,0,0.1,6.1
Chiefs ,LAC,W 30-13,0,1.8,0.9,0.5,0.8,0.1,0.1,5.9
Bears ,@Det,L 10-20,0,2.3,1.2,0.6,0.5,0.1,0.1,5.8
Colts ,Den,L 13-25,0,1.6,0.9,0.4,0.9,0.1,0.1,5.7
Chargers ,@KC,L 13-30,0,2.5,0.6,0.3,0.6,0.1,0.1,5.7
Packers ,@Car,L 24-31,0,2.7,0.9,0.5,0.8,0.1,0.1,5.7
Dolphins ,@Buf,L 16-24,0,2.5,0.9,0.5,0.5,0.1,0.1,5.6
Cowboys ,@Oak,W 20-17,0,1.4,1.1,0.5,0.7,0.1,0.1,5.4
Seahawks ,LAR,L 7-42,0,2,1.8,0.9,0.6,0.1,0.1,5.3
49ers ,Ten,W 25-23,0,1.7,0.7,0.3,0.8,0.1,0.1,5.3
Patriots ,@Pit,W 27-24,0,1.5,0.8,0.4,1.1,0.1,0.1,5.2
Browns ,Bal,L 10-27,0,1.2,1.2,0.6,0.7,0.1,0.1,5.2
Texans ,@Jax,L 7-45,0,1.7,1.4,0.7,0.8,0.1,0.1,5.1
Steelers ,NE,L 24-27,0,2.4,0.9,0.5,0.5,0.1,0.1,4.7
Raiders ,Dal,L 17-20,0,1.8,0.8,0.4,0.4,0,0.1,4.7
Bengals ,@Min,L 7-34,0,2.1,0.8,0.4,0.6,0.1,0.1,4.5
Buccaneers ,Atl,L 21-24,0,1.2,0.7,0.4,0.9,0.1,0.1,4.2
Giants ,Phi,L 29-34,0,1.4,1.4,0.7,0.6,0.1,0.1,4.1
Jets ,@NO,L 19-31,0,1.3,0.8,0.4,0.5,0,0.1,2.2
