PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Jaguars ,Ind,W 30-10,0,4.3,1.5,0.7,0.7,0.1,0.1,13.4
Chargers ,Cle,W 19-10,0,3,1.2,0.6,1.6,0.2,0.1,12.4
Titans ,Hou,W 24-13,0,3.3,1.9,0.9,0.7,0.1,0.1,9.9
Rams ,@Ari,W 32-16,0,3.4,1.7,0.9,1.2,0.1,0.1,9.4
Buccaneers ,@GB,L 20-26,0,2.7,1.1,0.5,1.7,0.2,0.1,8.9
Eagles ,@Sea,L 10-24,0,3.5,1.2,0.6,1,0.1,0.1,8.1
Raiders ,NYG,W 24-17,0,2.4,1.5,0.8,0.8,0.1,0.1,8.1
Bears ,SF,L 14-15,0,2.7,1.6,0.8,0.7,0.1,0.1,7.9
Ravens ,Det,W 44-20,0,2.5,1.2,0.6,0.8,0.1,0.1,6.8
Packers ,TB,W 26-20,0,2.1,1.5,0.7,0.9,0.1,0.1,6.7
Chiefs ,@NYJ,L 31-38,0,2.5,1.3,0.7,0.7,0.1,0.1,6.7
Steelers ,@Cin,W 23-20,0,2.1,0.8,0.4,0.7,0.1,0.1,6.6
Lions ,@Bal,L 20-44,0,1.6,1.2,0.6,1,0.1,0.1,6.4
Seahawks ,Phi,W 24-10,0,2.5,1.3,0.7,0.6,0.1,0.1,6.2
Saints ,Car,W 31-21,0,2.8,1,0.5,0.9,0.1,0.1,6.1
Dolphins ,Den,W 35-9,0,2.5,1.1,0.5,0.9,0.1,0.1,5.9
Vikings ,@Atl,W 14-9,0,2.3,0.8,0.4,0.7,0.1,0.1,5.9
49ers ,@Chi,W 15-14,0,2.2,1.4,0.7,0.5,0.1,0.1,5.8
Broncos ,@Mia,L 9-35,0,2,1,0.5,0.8,0.1,0.1,5.8
Texans ,@Ten,L 13-24,0,1.6,0.8,0.4,0.8,0.1,0.1,5.4
Cowboys ,Wsh,W 38-14,0,2.5,1.4,0.7,0.6,0.1,0.1,5.3
Bengals ,Pit,L 20-23,0,2.1,0.8,0.4,1,0.1,0.1,5.3
Cardinals ,LAR,L 16-32,0,2,1.7,0.9,0.6,0.1,0.1,5.3
Patriots ,@Buf,W 23-3,0,2.4,1,0.5,0.5,0.1,0.1,4.9
Panthers ,@NO,L 21-31,0,2.2,0.9,0.5,0.7,0.1,0.1,4.7
Jets ,KC,W 38-31,0,2.2,0.6,0.3,0.4,0,0.1,4.7
Redskins ,@Dal,L 14-38,0,1.9,0.9,0.4,0.7,0.1,0.1,4.6
Browns ,@LAC,L 10-19,0,1.3,0.8,0.4,0.7,0.1,0.1,4.6
Colts ,@Jax,L 10-30,0,1.6,1.2,0.6,0.6,0.1,0.1,4.2
Falcons ,Min,L 9-14,0,1.7,0.9,0.5,0.5,0.1,0.1,4.1
Bills ,NE,L 3-23,0,1.9,1.1,0.5,0.6,0.1,0.1,3.6
Giants ,@Oak,L 17-24,0,1.2,1.1,0.6,0.5,0.1,0.1,3.5
