PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Robbie Gould,Ten,W 25-23,1.4/1.4,0.6/0.8,0.3/0.4,2.3/2.6,2.2/2.3,10.1
Greg Zuerlein*,@Sea,W 42-7,1.3/1.4,0.6/0.8,0.3/0.4,2.2/2.5,2.3/2.4,9.8
Wil Lutz,NYJ,W 31-19,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,3.4/3.6,9.7
Kai Forbath,Cin,W 34-7,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.8/2.9,9.6
Chris Boswell,NE,L 24-27,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2.3/2.4,9.4
Justin Tucker,@Cle,W 27-10,1.2/1.3,0.6/0.7,0.2/0.3,2.1/2.3,2.2/2.3,9.4
Stephen Gostkowski,@Pit,W 27-24,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.7/2.7,9.2
Josh Lambo,Hou,W 45-7,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.4/2.6,9.2
Matt Prater,Chi,W 20-10,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,2.2/2.2,8.9
Ryan Succop,@SF,L 23-25,1.2/1.3,0.6/0.7,0.2/0.3,2/2.3,2.1/2.2,8.8
Matt Bryant,@TB,W 24-21,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.1,2.4/2.5,8.7
Harrison Butker,LAC,W 30-13,1.2/1.2,0.5/0.6,0.2/0.3,1.9/2.1,2/2,8.5
Graham Gano,GB,W 31-24,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.4/2.5,8.4
Patrick Murray,Atl,L 21-24,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2/2,8.1
Jake Elliott,@NYG,W 34-29,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.5/2.6,8
Stephen Hauschka,Mia,W 24-16,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.1/2.2,7.6
Phil Dawson,@Wsh,L 15-20,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.8/1.9,7.6
Blair Walsh,LAR,L 7-42,1/1.1,0.5/0.6,0.2/0.3,1.6/2.1,2.3/2.5,7.6
Adam Vinatieri,Den,L 13-25,1/1,0.5/0.6,0.2/0.3,1.7/1.9,2/2,7.6
Brandon McManus,@Ind,W 25-13,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,1.7/1.9,7.3
Travis Coons,@KC,L 13-30,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,2.3/2.5,7.3
Dan Bailey,@Oak,W 20-17,0.9/0.9,0.4/0.5,0.2/0.2,1.4/1.7,2.5/2.6,7.3
Dustin Hopkins,Ari,W 20-15,0.8/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.4/2.6,6.9
Mason Crosby,@Car,L 24-31,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2/2.2,6.8
Giorgio Tavecchio,Dal,L 17-20,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.6,2.3/2.5,6.7
Chandler Catanzaro,@NO,L 19-31,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.6/1.7,6.4
Cody Parkey,@Buf,L 16-24,0.8/0.8,0.3/0.4,0.1/0.2,1.2/1.5,1.9/2,6.1
Ka'imi Fairbairn,@Jax,L 7-45,0.9/1,0.4/0.5,0.2/0.3,1.5/1.7,1.2/1.3,6.1
Mike Nugent,@Det,L 10-20,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.6,1.9/2.1,6.1
Zane Gonzalez,Bal,L 10-27,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.6,1.6/1.7,6
Aldrick Rosas,Phi,L 29-34,0.8/0.8,0.3/0.4,0.1/0.2,1.3/1.5,1.3/1.4,5.5
Randy Bullock,@Min,L 7-34,0.6/0.7,0.3/0.4,0.1/0.2,1.1/1.3,1.5/1.6,4.9
Sebastian Janikowski*,Dal,L 17-20,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,@TB,W 24-21,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,Bal,L 10-27,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,Phi,L 29-34,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,NYJ,W 31-19,0/0,0/0,0/0,0/0,0/0,0
Nick Novak*,@KC,L 13-30,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,NE,L 24-27,0/0,0/0,0/0,0/0,0/0,0
Nick Folk*,Atl,L 21-24,0/0,0/0,0/0,0/0,0/0,0
Kyle Brindza,@NO,L 19-31,0/0,0/0,0/0,0/0,0/0,0
Andrew Franks,@Buf,L 16-24,0/0,0/0,0/0,0/0,0/0,0
Roberto Aguayo,@Det,L 10-20,0/0,0/0,0/0,0/0,0/0,0
Younghoe Koo,@KC,L 13-30,0/0,0/0,0/0,0/0,0/0,0
Nick Rose,@KC,L 13-30,0/0,0/0,0/0,0/0,0/0,0
Sam Ficken,@Sea,W 42-7,--/--,--/--,--/--,--/--,--/--,--
