PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Steelers ,GB,W 31-28,0,3.6,1.2,0.6,1.5,0.2,0.1,14.7
Jaguars ,@Ari,L 24-27,0,4.1,1.7,0.9,1.3,0.1,0.1,13.3
Eagles ,Chi,W 31-3,0,3.3,1.3,0.7,0.7,0.1,0.1,12.3
Bengals ,Cle,W 30-16,0,3.1,1.1,0.6,1.6,0.2,0.1,12.2
Ravens ,Hou,W 23-16,0,2.9,1.8,0.9,0.9,0.1,0.1,11.2
Panthers ,@NYJ,W 35-27,0,2.9,1.4,0.7,0.7,0.1,0.1,10
Seahawks ,@SF,W 24-13,0,3.1,0.9,0.5,1,0.1,0.1,8.6
Patriots ,Mia,W 35-17,0,2.2,0.8,0.4,1.3,0.1,0.1,8.4
Raiders ,Den,W 21-14,0,2.8,1.6,0.8,0.8,0.1,0.1,7.4
Vikings ,@Det,W 30-23,0,3.1,1.2,0.6,0.7,0.1,0.1,7.2
Titans ,@Ind,W 20-16,0,3.3,1.4,0.7,0.5,0.1,0.1,6.8
Jets ,Car,L 27-35,0,2.3,1.1,0.6,0.8,0.1,0.1,6.6
Browns ,@Cin,L 16-30,0,1.4,1.1,0.6,0.5,0.1,0.1,6.6
Falcons ,TB,W 34-20,0,2.1,0.8,0.4,1,0.1,0.1,6.6
Cardinals ,Jax,W 27-24,0,2.1,1.1,0.6,0.9,0.1,0.1,6.3
Texans ,@Bal,L 16-23,0,1.6,1.3,0.7,0.9,0.1,0.1,6.3
Cowboys ,LAC,L 6-28,0,2.4,0.9,0.4,0.8,0.1,0.1,6.1
Chiefs ,Buf,L 10-16,0,2.6,1.1,0.6,0.4,0,0.1,5.8
Chargers ,@Dal,W 28-6,0,2.5,1.3,0.7,0.7,0.1,0.1,5.7
49ers ,Sea,L 13-24,0,2.5,1.1,0.6,0.7,0.1,0.1,5.5
Redskins ,NYG,W 20-10,0,1.8,1.2,0.6,1,0.1,0.1,5.4
Rams ,NO,W 26-20,0,2.1,0.9,0.5,0.9,0.1,0.1,5.3
Saints ,@LAR,L 20-26,0,1.7,1.8,0.9,0.6,0.1,0.1,4.9
Broncos ,@Oak,L 14-21,0,1.5,1.1,0.6,0.5,0.1,0.1,4.8
Lions ,Min,L 23-30,0,1.5,0.9,0.5,0.9,0.1,0.1,4.7
Packers ,@Pit,L 28-31,0,1.7,0.8,0.4,0.8,0.1,0.1,4.5
Giants ,@Wsh,L 10-20,0,1.2,1.5,0.8,0.7,0.1,0.1,4.4
Buccaneers ,@Atl,L 20-34,0,1.5,0.9,0.5,0.8,0.1,0.1,4.3
Bears ,@Phi,L 3-31,0,2.2,1.2,0.6,0.4,0,0.1,4.3
Bills ,@KC,W 16-10,0,2.1,0.6,0.3,0.5,0.1,0.1,4
Colts ,Ten,L 16-20,0,1.5,0.8,0.4,0.6,0.1,0.1,3.8
Dolphins ,@NE,L 17-35,0,1.9,1.1,0.6,0.4,0,0.1,3
