PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Stephen Gostkowski,@Buf,W 23-3,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,3/3.1,10.1
Greg Zuerlein*,@Ari,W 32-16,1.3/1.4,0.6/0.8,0.2/0.4,2.2/2.5,2.7/2.8,10
Chris Boswell,@Cin,W 23-20,1.4/1.4,0.6/0.8,0.3/0.4,2.3/2.6,2.3/2.3,9.9
Ryan Succop,Hou,W 24-13,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2.5/2.6,9.5
Kai Forbath,@Atl,W 14-9,1.3/1.4,0.6/0.7,0.2/0.4,2.1/2.5,2.5/2.6,9.5
Josh Lambo,Ind,W 30-10,1.3/1.4,0.6/0.8,0.2/0.4,2.1/2.5,2.3/2.5,9.1
Justin Tucker,Det,W 44-20,1.3/1.3,0.6/0.7,0.2/0.3,2.1/2.3,1.9/1.9,9.1
Wil Lutz,Car,W 31-21,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.6/2.7,8.9
Matt Bryant,Min,L 9-14,1.2/1.2,0.5/0.6,0.2/0.3,1.9/2.1,2.3/2.3,8.7
Matt Prater,@Bal,L 20-44,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.1,1.9/1.9,8.4
Dan Bailey,Wsh,W 38-14,1/1.1,0.5/0.6,0.2/0.3,1.7/1.9,2.4/2.5,8.2
Brandon McManus,@Mia,L 9-35,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,2/2.1,8.1
Patrick Murray,@GB,L 20-26,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.2,1.9/2,8.1
Jake Elliott,@Sea,L 10-24,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.4,8.1
Graham Gano,@NO,L 21-31,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2/2,8
Nick Rose,Cle,W 19-10,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.4/2.6,7.9
Travis Coons,Cle,W 19-10,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.6/2.9,7.8
Harrison Butker,@NYJ,L 31-38,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2/2.2,7.7
Stephen Hauschka,NE,L 3-23,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2/2.1,7.7
Ka'imi Fairbairn,@Ten,L 13-24,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.9/2,7.6
Chandler Catanzaro,KC,W 38-31,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.4,7.6
Cairo Santos*,SF,L 14-15,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2/2.2,7.5
Mason Crosby,TB,W 26-20,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.2/2.4,7.4
Giorgio Tavecchio,NYG,W 24-17,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.5/2.6,7.4
Phil Dawson,LAR,L 16-32,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,2/2.2,7.2
Blair Walsh,Phi,W 24-10,1/1.1,0.4/0.6,0.2/0.3,1.6/2.1,1.8/2.1,7.1
Aldrick Rosas,@Oak,L 17-24,1/1,0.4/0.6,0.2/0.3,1.6/1.8,1.6/1.7,6.8
Cody Parkey,Den,W 35-9,0.8/0.8,0.4/0.5,0.1/0.2,1.3/1.5,2.1/2.2,6.4
Robbie Gould,@Chi,W 15-14,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,1.3/1.4,6.4
Adam Vinatieri,@Jax,L 10-30,0.9/0.9,0.4/0.5,0.2/0.2,1.5/1.6,1.2/1.2,6.2
Randy Bullock,Pit,L 20-23,0.7/0.7,0.3/0.4,0.1/0.2,1.1/1.4,1.7/1.8,5.3
Zane Gonzalez,@LAC,L 10-19,0.7/0.7,0.3/0.4,0.1/0.2,1.1/1.3,1.2/1.3,4.9
Sebastian Janikowski*,NYG,W 24-17,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,Min,L 9-14,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,@LAC,L 10-19,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,@Oak,L 17-24,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,Car,W 31-21,0/0,0/0,0/0,0/0,0/0,0
Mike Nugent,SF,L 14-15,0/0,0/0,0/0,0/0,0/0,0
Nick Novak*,Cle,W 19-10,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,@Cin,W 23-20,0/0,0/0,0/0,0/0,0/0,0
