PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Stephen Gostkowski,Mia,W 35-17,1.5/1.5,0.7/0.8,0.3/0.4,2.4/2.7,3.4/3.4,11.4
Greg Zuerlein*,NO,W 26-20,1.5/1.6,0.7/0.9,0.3/0.4,2.5/2.9,2.6/2.7,10.9
Chris Boswell,GB,W 31-28,1.4/1.4,0.6/0.8,0.3/0.4,2.2/2.6,2.5/2.6,10
Ryan Succop,@Ind,W 20-16,1.3/1.4,0.6/0.8,0.2/0.4,2.2/2.5,2.6/2.6,9.9
Justin Tucker,Hou,W 23-16,1.3/1.4,0.6/0.7,0.3/0.4,2.2/2.5,1.9/1.9,9.5
Matt Prater,Min,L 23-30,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2/2,9.3
Jake Elliott,Chi,W 31-3,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.5/2.7,9.3
Harrison Butker,Buf,L 10-16,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2.4/2.5,9.2
Matt Bryant,TB,W 34-20,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.7/2.8,9.2
Kai Forbath,@Det,W 30-23,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.3/2.4,9.1
Wil Lutz,@LAR,L 20-26,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.6/2.7,9
Nick Rose,@Dal,W 28-6,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2.8/3,8.8
Adam Vinatieri,Ten,L 16-20,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.4/2.4,8.4
Josh Lambo,@Ari,L 24-27,1.2/1.3,0.5/0.7,0.2/0.3,1.9/2.3,2.2/2.4,8.4
Graham Gano,@NYJ,W 35-27,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.2/2.4,8.1
Blair Walsh,@SF,W 24-13,1.1/1.2,0.5/0.7,0.2/0.3,1.7/2.2,2.4/2.7,8.1
Dan Bailey,LAC,L 6-28,1/1,0.4/0.5,0.2/0.3,1.6/1.8,2.5/2.5,7.8
Patrick Murray,@Atl,L 20-34,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.7/1.8,7.8
Brandon McManus,@Oak,L 14-21,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.8/1.9,7.6
Giorgio Tavecchio,Den,W 21-14,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.5/2.6,7.4
