PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Rob Gronkowski,@Buf,W 23-3,0/0,0,0,0,0,0,0,5.1,73.6,0.7,16.6
Travis Kelce,@NYJ,L 31-38,0/0,0,0,0,0.1,0.5,0,6,72,0.4,15.6
Zach Ertz,@Sea,L 10-24,0/0,0,0,0,0,0,0,5.6,58.9,0.5,14.4
Jimmy Graham,Phi,W 24-10,0/0,0,0,0,0,0,0,4.8,52.4,0.5,13.2
Delanie Walker,Hou,W 24-13,0/0,0,0,0,0,0,0,4.3,54.2,0.3,11.7
Jack Doyle,@Jax,L 10-30,0/0,0,0,0,0,0,0,5.7,49.3,0.2,11.6
Evan Engram*,@Oak,L 17-24,0/0,0,0,0,0,0,0,4.3,50.9,0.3,11.4
Jared Cook,NYG,W 24-17,0/0,0,0,0,0,0,0,3.8,54.9,0.3,11.3
Vernon Davis,@Dal,L 14-38,0/0,0,0,0,0,0,0,3.7,54.3,0.3,11.1
Kyle Rudolph,@Atl,W 14-9,0/0,0,0,0,0,0,0,4.1,38.1,0.4,10.5
Jason Witten,Wsh,W 38-14,0/0,0,0,0,0,0,0,4,40.3,0.2,9.4
Austin Seferian-Jenkins*,KC,W 38-31,0/0,0,0,0,0,0,0,3.4,37.3,0.4,9.4
Hunter Henry*,Cle,W 19-10,0/0,0,0,0,0,0,0,3,36.5,0.4,9.2
Austin Hooper,Min,L 9-14,0/0,0,0,0,0,0,0,3.5,38.6,0.3,9.1
Cameron Brate,@GB,L 20-26,0/0,0,0,0,0,0,0,3.5,38.3,0.3,9.1
Julius Thomas*,Den,W 35-9,0/0,0,0,0,0,0,0,3.1,32.5,0.4,8.7
Charles Clay,NE,L 3-23,0/0,0,0,0,0,0,0,3.4,37.9,0.2,8.6
Tyler Kroft,Pit,L 20-23,0/0,0,0,0,0,0,0,3.3,36.4,0.3,8.5
Ed Dickson,@NO,L 21-31,0/0,0,0,0,0,0,0,2.8,35.3,0.2,7.6
