PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Eagles ,Den,W 51-23,0,2.7,1.7,0.9,1.2,0.1,0.1,9.5
Jaguars ,Cin,W 23-7,0,3.4,1.2,0.6,1,0.1,0.1,9.2
Cardinals ,@SF,W 20-10,0,2.9,1.2,0.6,1.3,0.1,0.1,8.6
Texans ,Ind,L 14-20,0,3.2,1.4,0.7,0.7,0.1,0.1,8.5
Lions ,@GB,W 30-17,0,1.9,1.3,0.6,1.7,0.2,0.1,8.4
49ers ,Ari,L 10-20,0,2.1,1.7,0.9,1.2,0.1,0.1,8
Bills ,@NYJ,L 21-34,0,2.8,1.4,0.7,0.9,0.1,0.1,7.7
Falcons ,@Car,L 17-20,0,2.4,1,0.5,0.9,0.1,0.1,6.8
Broncos ,@Phi,L 23-51,0,2.3,1.4,0.7,0.8,0.1,0.1,6.5
Packers ,Det,L 17-30,0,2.6,1.3,0.7,0.6,0.1,0.1,6.5
Bengals ,@Jax,L 7-23,0,2.4,1.3,0.7,0.7,0.1,0.1,6.4
Titans ,Bal,W 23-20,0,1.7,1.4,0.7,0.9,0.1,0.1,6.3
Saints ,TB,W 30-10,0,2,1.6,0.8,1.1,0.1,0.1,6.3
Rams ,@NYG,W 51-17,0,2.2,1.3,0.6,1,0.1,0.1,6.2
Raiders ,@Mia,W 27-24,0,1.7,1,0.5,0.6,0.1,0.1,6.2
Colts ,@Hou,W 20-14,0,2.3,1.7,0.9,0.8,0.1,0.1,6
Redskins ,@Sea,W 17-14,0,2.9,1.4,0.7,0.6,0.1,0.1,5.8
Panthers ,Atl,W 20-17,0,2.4,1.1,0.5,0.6,0.1,0.1,5.8
Seahawks ,Wsh,L 14-17,0,2,1.7,0.9,0.7,0.1,0.1,5.6
Cowboys ,KC,W 28-17,0,3,0.9,0.4,0.3,0,0.1,5.4
Giants ,LAR,L 17-51,0,1.5,2.2,1.2,0.6,0.1,0.1,5.4
Ravens ,@Ten,L 20-23,0,1.4,0.9,0.5,0.7,0.1,0.1,5.2
Dolphins ,Oak,L 24-27,0,1.5,1.1,0.5,0.5,0.1,0.1,4.9
Jets ,Buf,W 34-21,0,2.1,0.7,0.4,0.4,0,0.1,4.7
Chiefs ,@Dal,L 17-28,0,1.9,0.9,0.5,0.6,0.1,0.1,4.3
Buccaneers ,@NO,L 10-30,0,1.3,1.1,0.6,0.8,0.1,0.1,1.5
Bears ,** BYE **,--,--,--,--,--,--,--,--
Browns ,** BYE **,--,--,--,--,--,--,--,--
Vikings ,** BYE **,--,--,--,--,--,--,--,--
Patriots ,** BYE **,--,--,--,--,--,--,--,--
Steelers ,** BYE **,--,--,--,--,--,--,--,--
Chargers ,** BYE **,--,--,--,--,--,--,--,--
