PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Browns ,GB,L 21-27,0,2.9,1,0.5,1.1,0.1,0.1,9.8
Bengals ,Chi,L 7-33,0,2.8,1.6,0.8,0.4,0,0.1,9.4
Jaguars ,Sea,W 30-24,0,3.9,1.1,0.6,0.9,0.1,0.1,9.3
Bills ,Ind,W 13-7,0,3.2,1.5,0.7,0.8,0.1,0.1,8.6
Titans ,@Ari,L 7-12,0,3,1.5,0.8,1.2,0.1,0.1,8.5
Packers ,@Cle,W 27-21,0,2.7,1.2,0.6,1.4,0.1,0.1,8.4
Patriots ,@Mia,L 20-27,0,2.1,1.2,0.6,1.1,0.1,0.1,8.3
Steelers ,Bal,W 39-38,0,2.3,1.2,0.6,0.8,0.1,0.1,7.6
Vikings ,@Car,L 24-31,0,2.7,1,0.5,0.9,0.1,0.1,7.1
49ers ,@Hou,W 26-16,0,2.8,1.5,0.7,0.7,0.1,0.1,7
Seahawks ,@Jax,L 24-30,0,2.4,1.2,0.6,0.9,0.1,0.1,6.8
Eagles ,@LAR,W 43-35,0,2.3,1.6,0.8,0.7,0.1,0.1,6.7
Rams ,Phi,L 35-43,0,3.2,1.4,0.7,0.7,0.1,0.1,6.5
Chargers ,Wsh,W 30-13,0,2.6,1.5,0.7,1,0.1,0.1,6.5
Broncos ,NYJ,W 23-0,0,2.6,1.2,0.6,0.7,0.1,0.1,6.3
Colts ,@Buf,L 7-13,0,1.6,1.1,0.6,1,0.1,0.1,6.3
Jets ,@Den,L 0-23,0,2.7,1,0.5,0.9,0.1,0.1,6
Lions ,@TB,W 24-21,0,2,1.6,0.8,1,0.1,0.1,5.9
Cowboys ,@NYG,W 30-10,0,1.7,1.3,0.6,0.8,0.1,0.1,5.9
Cardinals ,Ten,W 12-7,0,2,0.7,0.4,0.9,0.1,0.1,5.8
Texans ,SF,L 16-26,0,2.4,1.6,0.8,0.8,0.1,0.1,5.8
Panthers ,Min,W 31-24,0,2.3,0.8,0.4,0.7,0.1,0.1,5.7
Buccaneers ,Det,L 21-24,0,2.1,1.3,0.6,0.9,0.1,0.1,5.6
Ravens ,@Pit,L 38-39,0,1.7,0.8,0.4,1.1,0.1,0.1,5.5
Bears ,@Cin,W 33-7,0,1.6,0.7,0.3,0.4,0,0.1,5.2
Chiefs ,Oak,W 26-15,0,1.3,1.2,0.6,0.6,0.1,0.1,5.1
Redskins ,@LAC,L 13-30,0,1.7,0.9,0.4,0.9,0.1,0.1,4.8
Falcons ,NO,W 20-17,0,1.7,0.9,0.4,0.6,0.1,0.1,4.1
Saints ,@Atl,L 17-20,0,1.9,0.7,0.3,0.6,0.1,0.1,4
Giants ,Dal,L 10-30,0,1.6,0.8,0.4,0.6,0.1,0.1,3.8
Dolphins ,NE,W 27-20,0,2,1,0.5,0.6,0.1,0.1,3.6
Raiders ,@KC,L 15-26,0,2.1,0.6,0.3,0.2,0,0.1,3.2
