PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Ryan Succop,Bal,W 23-20,1.5/1.5,0.7/0.8,0.3/0.4,2.4/2.7,2/2.1,10.1
Jake Elliott,Den,W 51-23,1.4/1.5,0.6/0.8,0.3/0.4,2.3/2.7,2.2/2.3,9.8
Greg Zuerlein*,@NYG,W 51-17,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2.4/2.6,9.3
Wil Lutz,TB,W 30-10,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,3.2/3.4,9.2
Matt Prater,@GB,W 30-17,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,2.1/2.1,8.8
Harrison Butker,@Dal,L 17-28,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.6/2.7,8.8
Justin Tucker,@Ten,L 20-23,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,1.8/1.9,8.8
Robbie Gould,Ari,L 10-20,1.2/1.3,0.5/0.7,0.2/0.3,2/2.3,2/2,8.6
Stephen Hauschka,@NYJ,L 21-34,1.2/1.3,0.5/0.7,0.2/0.3,1.9/2.3,2.1/2.2,8.5
Ka'imi Fairbairn,Ind,L 14-20,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.6/2.8,8.5
Matt Bryant,@Car,L 17-20,1.2/1.2,0.5/0.7,0.2/0.3,2/2.2,1.7/1.7,8.2
Josh Lambo,Cin,W 23-7,1.1/1.3,0.5/0.7,0.2/0.3,1.9/2.3,2/2.2,8.2
Graham Gano,Atl,W 20-17,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,1.9/2.1,8.1
Patrick Murray,@NO,L 10-30,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.1/2.3,7.8
Blair Walsh,Wsh,L 14-17,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2.3/2.5,7.7
Mason Crosby,Det,L 17-30,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.9/2.1,7.5
Phil Dawson,@SF,W 20-10,1/1.1,0.4/0.6,0.2/0.3,1.6/2,2.2/2.3,7.5
Chandler Catanzaro,Buf,W 34-21,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,1.8/2,7.4
Mike Nugent,** BYE **,0.8/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.9/3.3,--
Adam Vinatieri,@Hou,W 20-14,1/1,0.5/0.6,0.2/0.3,1.7/1.9,1.7/1.7,7.4
Nick Rose,** BYE **,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.7/1.8,--
Giorgio Tavecchio,@Mia,W 27-24,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.2/2.3,7.2
Aldrick Rosas,LAR,L 17-51,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2/2.2,6.8
Cody Parkey,Oak,L 24-27,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.7/1.8,6.7
Brandon McManus,@Phi,L 23-51,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,1.4/1.5,6.4
Sebastian Janikowski*,@Mia,W 27-24,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,@Car,L 17-20,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Josh Brown,LAR,L 17-51,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,TB,W 30-10,0/0,0/0,0/0,0/0,0/0,0
Nick Novak*,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Shaun Suisham,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Stephen Gostkowski,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Nick Folk*,@NO,L 10-30,0/0,0/0,0/0,0/0,0/0,0
Garrett Hartley,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Dan Carpenter,@NYJ,L 21-34,0/0,0/0,0/0,0/0,0/0,0
Connor Barth,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Dan Bailey,KC,W 28-17,0/0,0/0,0/0,0/0,0/0,0
Kai Forbath,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Randy Bullock,@Jax,L 7-23,0/0,0/0,0/0,0/0,0/0,0
Kyle Brindza,Buf,W 34-21,0/0,0/0,0/0,0/0,0/0,0
Andrew Franks,Oak,L 24-27,0/0,0/0,0/0,0/0,0/0,0
Roberto Aguayo,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Zane Gonzalez,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Younghoe Koo,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Sam Ficken,@NYG,W 51-17,--/--,--/--,--/--,--/--,--/--,--
