PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Bears ,GB,L 16-23,0,2.5,1.3,0.7,1.2,0.1,0.1,10.8
Panthers ,Mia,W 45-21,0,2.6,1,0.5,0.9,0.1,0.1,9.7
Lions ,Cle,W 38-24,0,2.1,0.8,0.4,1.7,0.2,0.1,9.4
Jaguars ,LAC,W 20-17,0,3.2,0.9,0.4,1.2,0.1,0.1,9
Seahawks ,@Ari,W 22-16,0,2.5,1.4,0.7,1.2,0.1,0.1,9
Rams ,Hou,W 33-7,0,3.4,1.7,0.8,1,0.1,0.1,8.9
Steelers ,@Ind,W 20-17,0,3.6,1.4,0.7,0.5,0.1,0.1,8.3
Giants ,@SF,L 21-31,0,2.7,1,0.5,1,0.1,0.1,7.4
Patriots ,@Den,W 41-16,0,1.9,1.7,0.9,1.2,0.1,0.1,7
Dolphins ,@Car,L 21-45,0,2.5,1,0.5,0.8,0.1,0.1,6.8
Buccaneers ,NYJ,W 15-10,0,2.2,1.3,0.7,0.8,0.1,0.1,6.6
Cardinals ,Sea,L 16-22,0,2.7,1.3,0.7,0.9,0.1,0.1,6.3
Titans ,Cin,W 24-20,0,2.1,1.1,0.6,0.8,0.1,0.1,6.2
Chargers ,@Jax,L 17-20,0,2.5,1,0.5,0.6,0.1,0.1,6.2
Redskins ,Min,L 30-38,0,1.9,1,0.5,0.8,0.1,0.1,6
Vikings ,@Wsh,W 38-30,0,1.9,1.8,0.9,0.8,0.1,0.1,5.8
Packers ,@Chi,W 23-16,0,2.1,1.4,0.7,0.5,0.1,0.1,5.7
Browns ,@Det,L 24-38,0,2,1.3,0.6,0.6,0.1,0.1,5.6
Bengals ,@Ten,L 20-24,0,2.1,0.9,0.4,0.7,0.1,0.1,5.5
49ers ,NYG,W 31-21,0,1.5,1.4,0.7,0.9,0.1,0.1,5.3
Saints ,@Buf,W 47-10,0,2.7,0.9,0.5,0.3,0,0.1,5.3
Texans ,@LAR,L 7-33,0,1.4,2,1.1,0.6,0.1,0.1,5.2
Bills ,NO,L 10-47,0,1.6,1.1,0.6,0.9,0.1,0.1,5.1
Jets ,@TB,L 10-15,0,1.7,0.8,0.4,1,0.1,0.1,5
Cowboys ,@Atl,L 7-27,0,2.6,1,0.5,0.6,0.1,0.1,5
Broncos ,NE,L 16-41,0,2.3,1.1,0.6,0.5,0.1,0.1,4.6
Falcons ,Dal,W 27-7,0,1.7,1.2,0.6,0.4,0,0.1,4
Colts ,Pit,L 17-20,0,1.1,0.7,0.4,0.8,0.1,0.1,3.8
Chiefs ,** BYE **,--,--,--,--,--,--,--,--
Raiders ,** BYE **,--,--,--,--,--,--,--,--
Eagles ,** BYE **,--,--,--,--,--,--,--,--
Ravens ,** BYE **,--,--,--,--,--,--,--,--
