PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Zach Ertz,@Dal,W 37-9,0/0,0,0,0,0,0,0,6,70.2,0.6,16.9
Rob Gronkowski,@Oak,W 33-8,0/0,0,0,0,0,0,0,5,76.9,0.7,16.8
Evan Engram*,KC,W 12-9,0/0,0,0,0,0,0,0,5.9,67,0.5,15.3
Travis Kelce,@NYG,L 9-12,0/0,0,0,0,0.1,0.6,0,5.4,68.7,0.4,14.7
Jimmy Graham,Atl,L 31-34,0/0,0,0,0,0,0,0,4.2,48.9,0.5,12.2
Vernon Davis,@NO,L 31-34,0/0,0,0,0,0,0,0,4.2,58.3,0.4,12.1
Jared Cook,NE,L 8-33,0/0,0,0,0,0,0,0,4.2,53.6,0.4,11.6
Jason Witten,Phi,L 9-37,0/0,0,0,0,0,0,0,4.4,42.7,0.3,10.5
Kyle Rudolph,LAR,W 24-7,0/0,0,0,0,0,0,0,3.9,38.4,0.4,10.2
Delanie Walker,@Pit,L 17-40,0/0,0,0,0,0,0,0,4.1,43.7,0.2,9.9
Hunter Henry*,Buf,W 54-24,0/0,0,0,0,0,0,0,3.2,38.6,0.4,9.2
Austin Hooper,@Sea,W 34-31,0/0,0,0,0,0,0,0,3.7,38.3,0.2,8.9
Julius Thomas*,TB,L 20-30,0/0,0,0,0,0,0,0,3.2,33.7,0.4,8.7
Cameron Brate,@Mia,W 30-20,0/0,0,0,0,0,0,0,3.2,34.5,0.3,8.5
Charles Clay,@LAC,L 24-54,0/0,0,0,0,0,0,0,3.5,34.4,0.2,8
Tyler Kroft,@Den,W 20-17,0/0,0,0,0,0,0,0,3,29.9,0.2,7.4
Jesse James,Ten,W 40-17,0/0,0,0,0,0,0,0,2.8,27.5,0.3,7.2
C.J. Fiedorowicz*,Ari,W 31-21,0/0,0,0,0,0,0,0,2.8,28.2,0.2,7
David Njoku,Jax,L 7-19,0/0,0,0,0,0,0,0,3,28,0.2,7
Benjamin Watson,@GB,W 23-0,0/0,0,0,0,0,0,0,2.9,26,0.2,6.7
Eric Ebron,@Chi,W 27-24,0/0,0,0,0,0,0,0,2.6,27.3,0.2,6.3
Tyler Higbee,@Min,L 7-24,0/0,0,0,0,0,0,0,2.3,26.6,0.2,6.1
Virgil Green,Cin,L 17-20,0/0,0,0,0,0,0,0,2.7,25.2,0.1,6.1
Martellus Bennett*,@Oak,W 33-8,0/0,0,0,0,0,0,0,2.4,24.9,0.2,6
Jermaine Gresham,@Hou,L 21-31,0/0,0,0,0,0,0,0,2.4,24.7,0.2,5.8
Coby Fleener*,Wsh,W 34-31,0/0,0,0,0,0,0,0,1.8,23,0.3,5.6
Antonio Gates,Buf,W 54-24,0/0,0,0,0,0,0,0,2,22.8,0.2,5.6
Marcedes Lewis,@Cle,W 19-7,0/0,0,0,0,0,0,0,1.7,19.7,0.2,5
Daniel Brown,Det,L 24-27,0/0,0,0,0,0,0,0,1.9,20.4,0.2,4.9
O.J. Howard*,@Mia,W 30-20,0/0,0,0,0,0,0,0,1.7,20.5,0.2,4.8
Adam Shaheen*,Det,L 24-27,0/0,0,0,0,0,0,0,1.7,18.6,0.1,4.4
Seth DeValve,Jax,L 7-19,0/0,0,0,0,0,0,0,1.9,19.1,0.1,4.4
Richard Rodgers*,Bal,L 0-23,0/0,0,0,0,0,0,0,1.9,17.8,0.1,4.4
Troy Niklas,@Hou,L 21-31,0/0,0,0,0,0,0,0,1.6,17.6,0.1,4.1
Stephen Anderson,Ari,W 31-21,0/0,0,0,0,0,0,0,1.6,17.4,0.1,4.1
Lance Kendricks,Bal,L 0-23,0/0,0,0,0,0,0,0,1.7,16,0.1,4
Gerald Everett,@Min,L 7-24,0/0,0,0,0,0,0,0,1.5,17,0.1,3.9
Rhett Ellison,KC,W 12-9,0/0,0,0,0,0,0,0,1.6,16.5,0.1,3.9
Nick Boyle,@GB,W 23-0,0/0,0,0,0,0,0,0,1.4,11.8,0.1,3
Darren Fells,@Chi,W 27-24,0/0,0,0,0,0,0,0,1.1,12.1,0.1,3
James O'Shaughnessy,@Cle,W 19-7,0/0,0,0,0,0,0,0,0.7,7.4,0,1.8
Luke Willson,Atl,L 31-34,0/0,0,0,0,0,0,0,0.6,7.5,0.1,1.7
Xavier Grimble,Ten,W 40-17,0/0,0,0,0,0,0,0,0.7,6.9,0.1,1.7
Nick Vannett*,Atl,L 31-34,0/0,0,0,0,0,0,0,0.6,6.5,0.1,1.7
Levine Toilolo*,@Sea,W 34-31,0/0,0,0,0,0,0,0,0.7,6.4,0,1.6
Michael Hoomanawanui*,Wsh,W 34-31,0/0,0,0,0,0,0,0,0.5,5.8,0.1,1.5
Maxx Williams,@GB,W 23-0,0/0,0,0,0,0,0,0,0.7,5.7,0,1.5
Lee Smith,NE,L 8-33,0/0,0,0,0,0,0,0,0.6,5.3,0,1.4
Brent Celek,@Dal,W 37-9,0/0,0,0,0,0,0,0,0.5,6,0.1,1.4
Jeremy Sprinkle,@NO,L 31-34,0/0,0,0,0,0,0,0,0.5,5.2,0,1.2
James Hanna,Phi,L 9-37,0/0,0,0,0,0,0,0,0.5,4.6,0,1.1
Antony Auclair,@Mia,W 30-20,0/0,0,0,0,0,0,0,0.4,4.3,0,1.1
Ben Koyack,@Cle,W 19-7,0/0,0,0,0,0,0,0,0.4,3.7,0,0.9
Geoff Swaim,Phi,L 9-37,0/0,0,0,0,0,0,0,0.3,3.4,0,0.9
Clive Walford*,NE,L 8-33,0/0,0,0,0,0,0,0,0.3,2.8,0,0.7
Jerell Adams,KC,W 12-9,0/0,0,0,0,0,0,0,0.3,2.7,0,0.7
Ricky Seals-Jones,@Hou,L 21-31,0/0,0,0,0,0,0,0,0.2,2.5,0,0.6
MarQueis Gray,TB,L 20-30,0/0,0,0,0,0,0,0,0.2,2.3,0,0.6
Blake Bell*,LAR,W 24-7,0/0,0,0,0,0,0,0,0.2,2.2,0,0.6
David Morgan,LAR,W 24-7,0/0,0,0,0,0,0,0,0.2,2.2,0,0.6
Michael Roberts,@Chi,W 27-24,0/0,0,0,0,0,0,0,0.2,2.1,0,0.6
Phillip Supernaw,@Pit,L 17-40,0/0,0,0,0,0,0,0,0.2,2,0,0.5
Logan Thomas,@LAC,L 24-54,0/0,0,0,0,0,0,0,0.2,2,0,0.5
Dwayne Allen,@Oak,W 33-8,0/0,0,0,0,0,0,0,0.1,1.3,0,0.3
Randall Telfer,Jax,L 7-19,0/0,0,0,0,0,0,0,0.1,1,0,0.2
Kellen Winslow,** BYE **,0/0,0,0,0,0,0,0,0,0,0,--
Alex Smith,@NO,L 31-34,0/0,0,0,0,0,0,0,0,0,0,0
