PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Vikings ,Chi,W 23-10,0,3,1.4,0.7,0.7,0.1,0.1,12.1
Patriots ,NYJ,W 26-6,0,2.8,0.6,0.3,1.5,0.2,0.1,11.4
Seahawks ,Ari,L 24-26,0,2.6,1,0.5,1.2,0.1,0.1,10.7
Broncos ,KC,L 24-27,0,2.5,1.1,0.6,0.7,0.1,0.1,9.3
Ravens ,Cin,L 27-31,0,2.2,0.8,0.4,0.7,0.1,0.1,8.8
Chiefs ,@Den,W 27-24,0,3.2,1.7,0.8,1,0.1,0.1,8.4
Steelers ,Cle,W 28-24,0,2.3,1.1,0.5,1.2,0.1,0.1,8.4
Lions ,GB,W 35-11,0,2.7,1,0.5,1.3,0.1,0.1,8.2
Colts ,Hou,W 22-13,0,2.7,1.6,0.8,1.1,0.1,0.1,8
49ers ,@LAR,W 34-13,0,2.5,1.1,0.6,1.2,0.1,0.1,7.8
Cowboys ,@Phi,W 6-0,0,2.3,1.1,0.5,1.2,0.1,0.1,7.5
Jaguars ,@Ten,L 10-15,0,2.6,0.6,0.3,1.1,0.1,0.1,7.2
Chargers ,Oak,W 30-10,0,1.9,1.2,0.6,0.8,0.1,0.1,7
Browns ,@Pit,L 24-28,0,1.4,1.5,0.8,1.2,0.1,0.1,6.9
Titans ,Jax,W 15-10,0,2.6,1.2,0.6,0.8,0.1,0.1,6.8
Redskins ,@NYG,L 10-18,0,2.2,1.1,0.6,1,0.1,0.1,6.7
Bills ,@Mia,W 22-16,0,2.1,1.2,0.6,1.2,0.1,0.1,6.5
Cardinals ,@Sea,W 26-24,0,2.7,1,0.5,0.7,0.1,0.1,6.4
Falcons ,Car,W 22-10,0,2.6,0.9,0.5,0.7,0.1,0.1,6.4
Bengals ,@Bal,W 31-27,0,2.1,1.2,0.6,0.8,0.1,0.1,6.1
Eagles ,Dal,L 0-6,0,1.9,0.7,0.4,0.9,0.1,0.1,5.9
Saints ,@TB,L 24-31,0,2.3,1.5,0.8,0.9,0.1,0.1,5.9
Texans ,@Ind,L 13-22,0,2.4,1.2,0.6,0.5,0.1,0.1,5.8
Dolphins ,Buf,L 16-22,0,2.7,0.9,0.5,0.4,0,0.1,5.6
Raiders ,@LAC,L 10-30,0,1.7,0.9,0.5,0.7,0.1,0.1,5.4
Rams ,SF,L 13-34,0,2.9,0.8,0.4,0.6,0.1,0.1,5.2
Packers ,@Det,L 11-35,0,2.5,1.1,0.6,0.5,0.1,0.1,4.9
Panthers ,@Atl,L 10-22,0,2.4,0.8,0.4,0.7,0.1,0.1,4.9
Giants ,Wsh,W 18-10,0,1.7,1.4,0.7,0.6,0.1,0.1,4.4
Bears ,@Min,L 10-23,0,1.5,0.7,0.4,0.6,0.1,0.1,3.8
Jets ,@NE,L 6-26,0,1.5,0.9,0.5,0.4,0,0.1,2.5
Buccaneers ,NO,W 31-24,0,1,0.8,0.4,0.9,0.1,0.1,2.2
