PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Ezekiel Elliott,LAR,L 30-35,0/0,0,0,0,22.8,100.1,1,2.9,23.8,0.1,21.6
Le'Veon Bell*,@Bal,W 26-9,0/0,0,0,0,18.3,80.1,0.5,5,38.4,0.2,21
LeSean McCoy,@Atl,W 23-17,0/0,0,0,0,14.7,71.1,0.4,5,41.2,0.2,19.7
Antonio Brown*,@Bal,W 26-9,0/0,0,0,0,0.2,1.3,0,7.4,93.4,0.4,19.5
A.J. Green,@Cle,W 31-7,0/0,0,0,0,0,0,0,6.6,94.7,0.5,19.1
Kareem Hunt,Wsh,W 29-20,0/0,0,0,0,16.8,80.1,0.8,3,24.7,0.1,18.3
Julio Jones,Buf,L 17-23,0/0,0,0,0,0,0,0,5.9,90.7,0.5,18
Ty Montgomery*,Chi,W 35-14,0/0,0,0,0,16.8,74.9,0.5,3.5,29.3,0.2,18
Devonta Freeman,Buf,L 17-23,0/0,0,0,0,15.9,73,0.8,2.4,20.9,0.2,17.8
Leonard Fournette,@NYJ,L 20-23,0/0,0,0,0,18.9,83.3,0.7,2.4,19.8,0.1,17.2
Michael Thomas,@Mia,W 20-0,0/0,0,0,0,0,0,0,6.3,77.8,0.5,17
Dalvin Cook*,Det,L 7-14,0/0,0,0,0,17,73.9,0.6,3,26.3,0.1,16.9
Odell Beckham Jr.*,@TB,L 23-25,0/0,0,0,0,0,0,0,6.1,81,0.4,16.5
Todd Gurley II,@Dal,W 35-30,0/0,0,0,0,16.3,62,0.7,3,24.8,0.1,16.3
Jordy Nelson*,Chi,W 35-14,0/0,0,0,0,0,0,0,5.2,74.7,0.6,16.3
Mark Ingram,@Mia,W 20-0,0/0,0,0,0,11.9,57.2,0.5,3.5,26.2,0.2,15.7
Keenan Allen,Phi,L 24-26,0/0,0,0,0,0,0,0,6.2,71.6,0.4,15.4
Jay Ajayi,@LAC,W 26-24,0/0,0,0,0,18.8,83.5,0.6,1.7,13.2,0.1,15.3
Rob Gronkowski,Car,L 30-33,0/0,0,0,0,0,0,0,4.7,69.1,0.6,15.2
Christian McCaffrey,@NE,W 33-30,0/0,0,0,0,7.4,31.7,0.2,5.1,47.4,0.2,15
Carlos Hyde,@Ari,L 15-18,0/0,0,0,0,14.2,60.8,0.4,3.5,26.3,0.1,15
