PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Stephen Gostkowski,Hou,W 36-33,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.1,2.8/2.8,9.1
Matt Bryant,@Det,W 30-26,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.7/2.7,8.7
Graham Gano,NO,L 13-34,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.3,2.4/2.6,8.6
Matt Prater,Atl,L 26-30,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.5/2.6,8.6
Mason Crosby,Cin,W 27-24,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.7/2.8,8.5
Justin Tucker,@Jax,L 7-44,1.2/1.2,0.5/0.6,0.2/0.3,1.9/2.2,1.8/1.9,8.5
Phil Dawson,Dal,L 17-28,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.6/2.7,8.3
Jake Elliott,NYG,W 27-24,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.3,1.9/2,8.2
Giorgio Tavecchio,@Wsh,L 10-27,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.4/2.5,8.2
Chris Boswell,@Chi,L 17-23,1/1.1,0.5/0.6,0.2/0.3,1.7/1.9,2.3/2.3,8.1
Greg Zuerlein*,@SF,W 41-39,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.5,8.1
Cairo Santos*,Pit,W 23-17,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2/2.1,8
Dan Bailey,@Ari,W 28-17,1/1,0.4/0.5,0.2/0.3,1.6/1.8,2.5/2.6,7.9
Dustin Hopkins,Oak,W 27-10,1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.4/2.6,7.9
Younghoe Koo,KC,L 10-24,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.3,7.7
Brandon McManus,@Buf,L 16-26,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.3,7.7
Ryan Succop,Sea,W 33-27,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2.2/2.3,7.6
Wil Lutz,@Car,W 34-13,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.4/2.6,7.6
Blair Walsh,@Ten,L 27-33,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,1.9/2.1,7.5
Adam Vinatieri,Cle,W 31-28,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,2.2/2.2,7.4
Zane Gonzalez,@Ind,L 28-31,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.3/2.4,7.3
Kai Forbath,TB,W 34-17,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2/2.1,7.3
Randy Bullock,@GB,L 24-27,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.1/2.2,7.2
Ka'imi Fairbairn,@NE,L 33-36,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,1.6/1.7,7.1
Nick Folk*,@Min,L 17-34,1/1,0.4/0.6,0.2/0.3,1.6/1.9,1.8/1.9,6.9
Jason Myers,@Ten,L 27-33,1/1,0.4/0.6,0.2/0.3,1.6/1.9,1.6/1.7,6.9
Robbie Gould,LAR,L 39-41,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.7/1.8,6.9
Cody Parkey,@NYJ,L 6-20,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.6,2.6/2.8,6.9
Connor Barth,Pit,W 23-17,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.9/2.1,6.9
Chandler Catanzaro,Mia,W 20-6,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.6/1.7,6.7
Stephen Hauschka,Den,W 26-16,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,1.9/2,6.5
Aldrick Rosas,@Phi,L 24-27,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,1.7/1.8,6.2
Sebastian Janikowski*,@Wsh,L 10-27,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,@Det,W 30-26,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,@Ind,L 28-31,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,@Phi,L 24-27,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,@Car,W 34-13,0/0,0/0,0/0,0/0,0/0,0
Mike Nugent,Pit,W 23-17,0/0,0/0,0/0,0/0,0/0,0
Nick Novak*,KC,L 10-24,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,@Chi,L 17-23,0/0,0/0,0/0,0/0,0/0,0
Josh Lambo,Bal,W 44-7,0/0,0/0,0/0,0/0,0/0,0
Andrew Franks,@NYJ,L 6-20,0/0,0/0,0/0,0/0,0/0,0
Roberto Aguayo,Pit,W 23-17,0/0,0/0,0/0,0/0,0/0,0
Harrison Butker,@LAC,W 24-10,0/0,0/0,0/0,0/0,0/0,0
Nick Rose,KC,L 10-24,--/--,--/--,--/--,--/--,--/--,--
Sam Ficken,@SF,W 41-39,--/--,--/--,--/--,--/--,--/--,--
