PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Justin Tucker,Cle,W 24-10,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.3,2.3/2.4,9.6
Stephen Gostkowski,@NO,W 36-20,1/1.1,0.5/0.6,0.2/0.3,1.7/1.9,3.5/3.6,9.3
Matt Bryant,GB,W 34-23,1/1,0.5/0.6,0.2/0.3,1.6/1.9,3.1/3.2,8.7
Giorgio Tavecchio,NYJ,W 45-20,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.8/3,8.5
Phil Dawson,@Ind,W 16-13,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.6/2.8,8.4
Blair Walsh,SF,W 12-9,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.7/2.9,8.4
Graham Gano,Buf,W 9-3,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.6/2.8,8.3
Younghoe Koo,Mia,L 17-19,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.4/2.6,8.1
Cairo Santos*,@TB,L 7-29,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2.1/2.2,8
Mason Crosby,@Atl,L 23-34,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.7/2.8,8
Chris Boswell,Min,W 26-9,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.1/2.2,8
Wil Lutz,NE,L 20-36,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,3.1/3.3,7.9
Dan Bailey,@Den,L 17-42,1/1,0.5/0.6,0.2/0.3,1.7/1.9,2.2/2.2,7.8
Jake Elliott,@KC,L 20-27,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,1.9/2.1,7.8
Dustin Hopkins,@LAR,W 27-20,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2/2.2,7.7
Matt Prater,@NYG,W 24-10,1.1/1.1,0.5/0.6,0.2/0.3,1.7/1.9,1.8/1.8,7.7
Nick Folk*,Chi,W 29-7,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.4,7.7
Brandon McManus,Dal,W 42-17,1/1.1,0.4/0.6,0.2/0.3,1.6/1.9,2.1/2.3,7.5
Greg Zuerlein*,Wsh,L 20-27,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.2/2.3,7.3
Jason Myers,Ten,L 16-37,1/1,0.5/0.6,0.2/0.3,1.6/1.9,1.9/2,7.3
Randy Bullock,Hou,L 9-13,1/1.1,0.4/0.6,0.2/0.3,1.6/2,1.8/2,7.1
Ryan Succop,@Jax,W 37-16,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,2.2/2.3,7.1
Aldrick Rosas,Det,L 10-24,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.2/2.4,7
Adam Vinatieri,Ari,L 13-16,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,1.8/1.8,7
Kai Forbath,@Pit,L 9-26,1/1,0.4/0.6,0.2/0.3,1.6/1.9,1.7/1.8,7
Ka'imi Fairbairn,@Cin,W 13-9,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,1.6/1.7,7
Connor Barth,@TB,L 7-29,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.9/2,6.9
Stephen Hauschka,@Car,L 3-9,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.9/2,6.8
Zane Gonzalez,@Bal,L 10-24,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.6/1.7,6.6
Chandler Catanzaro,@Oak,L 20-45,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.5/1.6,6.3
Robbie Gould,@Sea,L 9-12,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,1.4/1.4,6.2
Cody Parkey,@LAC,W 19-17,0.8/0.8,0.3/0.5,0.1/0.2,1.2/1.5,2/2.2,6.1
Sebastian Janikowski*,NYJ,W 45-20,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,GB,W 34-23,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,@Bal,L 10-24,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,Det,L 10-24,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,NE,L 20-36,0/0,0/0,0/0,0/0,0/0,0
Mike Nugent,@TB,L 7-29,0/0,0/0,0/0,0/0,0/0,0
Nick Novak*,Mia,L 17-19,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,Min,W 26-9,0/0,0/0,0/0,0/0,0/0,0
