PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Eagles ,Ari,W 34-7,0,2.6,1.8,0.9,1.1,0.1,0.1,8.3
Vikings ,@Chi,W 20-17,0,3,1,0.5,0.8,0.1,0.1,8.2
Ravens ,@Oak,W 30-17,0,2.4,1.8,0.9,1.1,0.1,0.1,8
Steelers ,Jax,L 9-30,0,2.6,1.2,0.6,0.8,0.1,0.1,7.9
Chiefs ,@Hou,W 42-34,0,3,1,0.5,1,0.1,0.1,7.8
Dolphins ,Ten,W 16-10,0,2.3,1.2,0.6,1.1,0.1,0.1,7.5
Jets ,@Cle,W 17-14,0,2.1,1,0.5,1.2,0.1,0.1,7.1
49ers ,@Ind,L 23-26,0,2.8,1.2,0.6,0.7,0.1,0.1,6.8
Panthers ,@Det,W 27-24,0,3.1,1,0.5,0.7,0.1,0.1,6.7
Titans ,@Mia,L 10-16,0,2.2,1.5,0.7,0.8,0.1,0.1,6.7
Bengals ,Buf,W 20-16,0,2.8,0.8,0.4,0.4,0,0.1,6.5
Lions ,Car,L 24-27,0,2.4,0.9,0.4,1.2,0.1,0.1,6.5
Browns ,NYJ,L 14-17,0,2.2,1.5,0.8,0.7,0.1,0.1,6.4
Raiders ,Bal,L 17-30,0,2,1.2,0.6,0.8,0.1,0.1,6.2
Rams ,Sea,L 10-16,0,2.8,0.8,0.4,0.6,0.1,0.1,6.1
Jaguars ,@Pit,W 30-9,0,2.4,0.9,0.5,1,0.1,0.1,6.1
Bills ,@Cin,L 16-20,0,2.8,0.9,0.5,0.9,0.1,0.1,6
Seahawks ,@LAR,W 16-10,0,1.9,1.3,0.6,0.7,0.1,0.1,6
Patriots ,@TB,W 19-14,0,2,1,0.5,1.2,0.1,0.1,5.9
Giants ,LAC,L 22-27,0,1.5,1.2,0.6,0.9,0.1,0.1,5.9
Chargers ,@NYG,W 27-22,0,1.9,1.1,0.5,0.7,0.1,0.1,5.6
Texans ,KC,L 34-42,0,2.7,1,0.5,0.3,0,0.1,5.4
Cardinals ,@Phi,L 7-34,0,2,1.4,0.7,0.8,0.1,0.1,5.3
Colts ,SF,W 26-23,0,1.5,1.2,0.6,1,0.1,0.1,5.1
Bears ,Min,L 17-20,0,2.1,1.1,0.6,0.4,0,0.1,5
Cowboys ,GB,L 31-35,0,2.8,0.9,0.5,0.4,0,0.1,4.8
Packers ,@Dal,W 35-31,0,2.1,1.2,0.6,0.6,0.1,0.1,4.8
Buccaneers ,NE,L 14-19,0,1.7,0.8,0.4,0.6,0.1,0.1,3.9
Falcons ,** BYE **,--,--,--,--,--,--,--,--
Broncos ,** BYE **,--,--,--,--,--,--,--,--
Saints ,** BYE **,--,--,--,--,--,--,--,--
Redskins ,** BYE **,--,--,--,--,--,--,--,--
