PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Seahawks ,Ind,W 46-18,0,3.2,1.3,0.7,1.3,0.1,0.1,11.8
Bengals ,@Cle,W 31-7,0,3.1,1,0.5,1.2,0.1,0.1,9.2
Packers ,Chi,W 35-14,0,2.5,1.5,0.7,0.9,0.1,0.1,8.1
Titans ,@Hou,L 14-57,0,3.6,0.9,0.5,1,0.1,0.1,8
Jaguars ,@NYJ,L 20-23,0,2.3,1.6,0.8,0.7,0.1,0.1,7.9
Cowboys ,LAR,L 30-35,0,2.5,1.3,0.6,0.9,0.1,0.1,7.1
Cardinals ,SF,W 18-15,0,1.8,1.2,0.6,0.8,0.1,0.1,6.9
Steelers ,@Bal,W 26-9,0,2,1.2,0.6,1,0.1,0.1,6.7
Buccaneers ,NYG,W 25-23,0,2,1,0.5,1,0.1,0.1,6.6
Lions ,@Min,W 14-7,0,2.1,1.1,0.6,0.9,0.1,0.1,6.6
Giants ,@TB,L 23-25,0,1.8,0.8,0.4,1.1,0.1,0.1,6.4
Jets ,Jax,W 23-20,0,2.2,1.2,0.6,0.8,0.1,0.1,6.4
Saints ,@Mia,W 20-0,0,1.8,1.5,0.7,0.8,0.1,0.1,6.3
Eagles ,@LAC,W 26-24,0,2.4,1.2,0.6,1.1,0.1,0.1,6.3
49ers ,@Ari,L 15-18,0,2,1.7,0.9,1,0.1,0.1,6.1
Vikings ,Det,L 7-14,0,2.2,0.9,0.5,0.7,0.1,0.1,6.1
Patriots ,Car,L 30-33,0,2.3,0.9,0.4,1.1,0.1,0.1,6.1
Raiders ,@Den,L 10-16,0,2.8,0.8,0.4,0.9,0.1,0.1,6
Chargers ,Phi,L 24-26,0,2.3,1.4,0.7,0.9,0.1,0.1,5.9
Chiefs ,Wsh,W 29-20,0,2.1,1.4,0.7,0.8,0.1,0.1,5.7
Dolphins ,NO,L 0-20,0,2.3,1,0.5,0.8,0.1,0.1,5.6
Broncos ,Oak,W 16-10,0,1.8,1.2,0.6,0.6,0.1,0.1,5.5
Texans ,Ten,W 57-14,0,2.1,1.2,0.6,0.5,0,0.1,5.4
Browns ,Cin,L 7-31,0,2.2,0.9,0.5,0.9,0.1,0.1,5.4
Bears ,@GB,L 14-35,0,3.6,0.9,0.5,0.3,0,0.1,5.2
Colts ,@Sea,L 18-46,0,2.6,1,0.5,0.5,0.1,0.1,4.8
Falcons ,Buf,L 17-23,0,2.5,0.9,0.4,0.5,0.1,0.1,4.7
Panthers ,@NE,W 33-30,0,2.2,0.8,0.4,0.6,0.1,0.1,4.7
Ravens ,Pit,L 9-26,0,1.2,0.9,0.5,0.9,0.1,0.1,4.3
Rams ,@Dal,W 35-30,0,2.1,1.2,0.6,0.4,0,0.1,4.3
Redskins ,@KC,L 20-29,0,2.3,1,0.5,0.4,0,0.1,4.1
Bills ,@Atl,W 23-17,0,2.4,0.7,0.4,0.6,0.1,0.1,3.5
