PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Greg Zuerlein*,Hou,W 33-7,1.4/1.4,0.6/0.8,0.3/0.4,2.2/2.6,3/3.1,10.4
Ryan Succop,Cin,W 24-20,1.5/1.5,0.7/0.8,0.3/0.4,2.4/2.8,2.1/2.1,10.4
Matt Prater,Cle,W 38-24,1.3/1.3,0.6/0.7,0.3/0.4,2.2/2.4,2.6/2.6,10
Chris Boswell,@Ind,W 20-17,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2.5/2.5,9.5
Stephen Gostkowski,@Den,W 41-16,1.2/1.3,0.6/0.7,0.2/0.3,2/2.3,2.7/2.8,9.4
Kai Forbath,@Wsh,W 38-30,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.1/2.2,8.9
Matt Bryant,Dal,W 27-7,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.5/2.5,8.9
Stephen Hauschka,NO,L 10-47,1.2/1.3,0.6/0.7,0.2/0.4,2/2.3,2/2.1,8.6
Josh Lambo,LAC,W 20-17,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2/2.2,8.5
Robbie Gould,NYG,W 31-21,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2/2.1,8.1
Nick Rose,@Jax,L 17-20,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,1.9/2.1,8.1
Chandler Catanzaro,@TB,L 10-15,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.5,8
Wil Lutz,@Buf,W 47-10,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.2/2.3,8
Graham Gano,Mia,W 45-21,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.9/2.1,7.9
Brandon McManus,NE,L 16-41,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,1.8/2,7.9
Adam Vinatieri,Pit,L 17-20,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,1.7/1.8,7.7
Ka'imi Fairbairn,@LAR,L 7-33,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.8/1.9,7.5
Patrick Murray,NYJ,W 15-10,1/1,0.4/0.6,0.2/0.3,1.6/1.8,2/2.1,7.3
Blair Walsh,@Ari,W 22-16,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,2.3/2.6,7.2
Aldrick Rosas,@SF,L 21-31,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.7,2.2/2.4,6.9
Mike Nugent,GB,L 16-23,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.6,2.7/2.9,6.8
Phil Dawson,Sea,L 16-22,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,1.7/1.8,6.7
Mason Crosby,@Chi,W 23-16,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.5/1.6,6.4
Cody Parkey,@Car,L 21-45,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.4/1.4,6.4
Randy Bullock,@Ten,L 20-24,0.8/0.9,0.4/0.5,0.2/0.2,1.3/1.6,1.9/2.1,6.3
Connor Barth,GB,L 16-23,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.6,1.8/2,6.2
Nick Novak*,@Jax,L 17-20,0.8/0.8,0.4/0.5,0.1/0.2,1.3/1.5,1.5/1.6,5.8
Zane Gonzalez,@Det,L 24-38,0.7/0.8,0.3/0.4,0.1/0.2,1.2/1.5,1.6/1.7,5.7
Sebastian Janikowski*,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Shayne Graham,Dal,W 27-7,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,@Det,L 24-38,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,@SF,L 21-31,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,@Buf,W 47-10,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,@Ind,W 20-17,0/0,0/0,0/0,0/0,0/0,0
Nick Folk*,NYJ,W 15-10,0/0,0/0,0/0,0/0,0/0,0
Garrett Hartley,@Ind,W 20-17,0/0,0/0,0/0,0/0,0/0,0
Dan Carpenter,NO,L 10-47,0/0,0/0,0/0,0/0,0/0,0
Dan Bailey,@Atl,L 7-27,0/0,0/0,0/0,0/0,0/0,0
Giorgio Tavecchio,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Justin Tucker,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Brandon Bogotay,NYJ,W 15-10,0/0,0/0,0/0,0/0,0/0,0
Caleb Sturgis*,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Dustin Hopkins,Min,L 30-38,0/0,0/0,0/0,0/0,0/0,0
Zach Hocker,NYJ,W 15-10,0/0,0/0,0/0,0/0,0/0,0
Travis Coons,@Jax,L 17-20,0/0,0/0,0/0,0/0,0/0,0
Cairo Santos*,GB,L 16-23,0/0,0/0,0/0,0/0,0/0,0
Kasey Redfern*,Cle,W 38-24,0/0,0/0,0/0,0/0,0/0,0
Jordan Gay,Cin,W 24-20,0/0,0/0,0/0,0/0,0/0,0
Jason Myers,@Ari,W 22-16,0/0,0/0,0/0,0/0,0/0,0
Kyle Brindza,@TB,L 10-15,0/0,0/0,0/0,0/0,0/0,0
Andrew Franks,@Car,L 21-45,0/0,0/0,0/0,0/0,0/0,0
Roberto Aguayo,GB,L 16-23,0/0,0/0,0/0,0/0,0/0,0
Jake Elliott,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Harrison Butker,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Younghoe Koo,@Jax,L 17-20,0/0,0/0,0/0,0/0,0/0,0
Sam Ficken,Hou,W 33-7,--/--,--/--,--/--,--/--,--/--,--
