PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Jake Elliott,Ari,W 34-7,1.3/1.4,0.6/0.8,0.2/0.4,2.1/2.5,2.2/2.3,9.3
Stephen Gostkowski,@TB,W 19-14,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,3/3.1,9.3
Matt Prater,Car,L 24-27,1.1/1.1,0.5/0.6,0.2/0.3,1.9/2.1,2.2/2.2,8.6
Dan Bailey,GB,L 31-35,1/1,0.4/0.5,0.2/0.3,1.6/1.8,3/3.1,8.5
Justin Tucker,@Oak,W 30-17,1.2/1.2,0.5/0.6,0.2/0.3,1.9/2.1,1.9/1.9,8.5
Greg Zuerlein*,Sea,L 10-16,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.2/2.4,8.4
Robbie Gould,@Ind,L 23-26,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.2,2/2.1,8.4
Chris Boswell,Jax,L 9-30,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2/2.1,7.9
Ka'imi Fairbairn,KC,L 34-42,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.3,7.9
Nick Folk*,NE,L 14-19,1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.5,7.9
Blair Walsh,@LAR,W 16-10,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.5,7.9
Adam Vinatieri,SF,W 26-23,1/1,0.5/0.6,0.2/0.3,1.7/1.8,2.2/2.3,7.9
Mason Crosby,@Dal,W 35-31,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.8/3,7.8
Graham Gano,@Det,W 27-24,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.9/2,7.8
Ryan Succop,@Mia,L 10-16,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.2/2.2,7.6
Randy Bullock,Buf,W 20-16,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.9/2.1,7.5
Jason Myers,@LAR,W 16-10,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.8/1.9,7.4
Harrison Butker,@Hou,W 42-34,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.1/2.2,7.4
Phil Dawson,@Phi,L 7-34,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,1.7/1.8,7.4
Kai Forbath,@Chi,W 20-17,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2/2.1,7.3
Giorgio Tavecchio,Bal,L 17-30,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,1.9/2,7.2
Chandler Catanzaro,@Cle,W 17-14,1/1.1,0.4/0.6,0.2/0.3,1.6/1.9,1.9/2.1,7.2
Nick Novak*,@NYG,W 27-22,1/1,0.4/0.6,0.2/0.3,1.6/1.9,1.9/2,7.1
Cody Parkey,Ten,W 16-10,0.9/1,0.4/0.5,0.2/0.3,1.4/1.7,2/2.2,6.8
Zane Gonzalez,NYJ,L 14-17,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.1/2.2,6.8
Aldrick Rosas,LAC,L 22-27,0.9/0.9,0.4/0.5,0.2/0.2,1.4/1.7,2.1/2.3,6.8
Stephen Hauschka,@Cin,L 16-20,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.7/1.8,6.8
Connor Barth,Min,L 17-20,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.6/1.7,6.4
Sebastian Janikowski*,Bal,L 17-30,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Billy Cundiff,NYJ,L 14-17,0/0,0/0,0/0,0/0,0/0,0
Matt Bryant,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Josh Brown,LAC,L 22-27,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Mike Nugent,Min,L 17-20,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,Jax,L 9-30,0/0,0/0,0/0,0/0,0/0,0
Garrett Hartley,Jax,L 9-30,0/0,0/0,0/0,0/0,0/0,0
Dan Carpenter,@Cin,L 16-20,0/0,0/0,0/0,0/0,0/0,0
Brandon Bogotay,NE,L 14-19,0/0,0/0,0/0,0/0,0/0,0
Caleb Sturgis*,Ari,W 34-7,0/0,0/0,0/0,0/0,0/0,0
Andrew Franks,Ten,W 16-10,0/0,0/0,0/0,0/0,0/0,0
Roberto Aguayo,Min,L 17-20,0/0,0/0,0/0,0/0,0/0,0
Wil Lutz,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Younghoe Koo,@NYG,W 27-22,0/0,0/0,0/0,0/0,0/0,0
Nick Rose,@NYG,W 27-22,--/--,--/--,--/--,--/--,--/--,--
Sam Ficken,Sea,L 10-16,--/--,--/--,--/--,--/--,--/--,--
