PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Vikings ,@Cle,W 33-16,0,3,0.9,0.5,1.6,0.2,0.1,14.1
Bengals ,Ind,W 24-23,0,3.8,1.6,0.8,0.7,0.1,0.1,10.9
Eagles ,SF,W 33-10,0,3.7,1.3,0.6,1.4,0.1,0.1,10.6
Chiefs ,Den,W 29-19,0,2.9,1.3,0.7,0.9,0.1,0.1,7.6
Ravens ,Mia,W 40-0,0,1.7,1.6,0.8,0.9,0.1,0.1,7.5
Saints ,Chi,W 20-12,0,2.3,1.3,0.7,0.8,0.1,0.1,7.5
Steelers ,@Det,W 20-15,0,3.1,1.4,0.7,0.7,0.1,0.1,7.2
Seahawks ,Hou,W 41-38,0,2.6,1,0.5,1,0.1,0.1,7.2
Falcons ,@NYJ,W 25-20,0,2.6,1.3,0.6,0.8,0.1,0.1,7
Panthers ,@TB,W 17-3,0,2.7,1.6,0.8,0.9,0.1,0.1,6.6
Dolphins ,@Bal,L 0-40,0,2,1.4,0.7,0.8,0.1,0.1,6.6
Texans ,@Sea,L 38-41,0,2.6,1.4,0.7,0.7,0.1,0.1,5.9
Buccaneers ,Car,L 3-17,0,2.3,1.1,0.6,0.9,0.1,0.1,5.8
Broncos ,@KC,L 19-29,0,2.5,0.8,0.4,0.5,0.1,0.1,5.5
Patriots ,LAC,W 21-13,0,1.8,0.9,0.4,1,0.1,0.1,5.5
Bills ,Oak,W 34-14,0,1.5,1.4,0.7,0.6,0.1,0.1,5.4
Cowboys ,@Wsh,W 33-19,0,2.1,1.8,0.9,0.5,0.1,0.1,5.1
Lions ,Pit,L 15-20,0,1.2,0.6,0.3,1.2,0.1,0.1,5
Raiders ,@Buf,L 14-34,0,2.3,0.8,0.4,0.3,0,0.1,4.9
Bears ,@NO,L 12-20,0,2.1,1,0.5,0.7,0.1,0.1,4.8
Browns ,Min,L 16-33,0,0.9,1.1,0.6,0.6,0.1,0.1,4.5
Redskins ,Dal,L 19-33,0,2.2,0.9,0.4,0.6,0.1,0.1,4.4
Colts ,@Cin,L 23-24,0,1.5,1.1,0.6,0.6,0.1,0.1,4.2
49ers ,@Phi,L 10-33,0,1.9,1.6,0.8,0.6,0.1,0.1,4
Chargers ,@NE,L 13-21,0,2.4,1.2,0.6,0.5,0,0.1,3.8
Jets ,Atl,L 20-25,0,1.4,0.8,0.4,0.6,0.1,0.1,3.7
Packers ,** BYE **,--,--,--,--,--,--,--,--
Titans ,** BYE **,--,--,--,--,--,--,--,--
Rams ,** BYE **,--,--,--,--,--,--,--,--
Giants ,** BYE **,--,--,--,--,--,--,--,--
Cardinals ,** BYE **,--,--,--,--,--,--,--,--
Jaguars ,** BYE **,--,--,--,--,--,--,--,--
