PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Geoff Swaim,@NYG,W 30-10,0/0,0,0,0,0,0,0,0.3,3.1,0,0.8
Lee Smith,@KC,L 15-26,0/0,0,0,0,0,0,0,0.3,2.4,0,0.6
Michael Roberts,@TB,W 24-21,0/0,0,0,0,0,0,0,0.2,2.5,0,0.6
MarQueis Gray,NE,W 27-20,0/0,0,0,0,0,0,0,0.2,2.5,0,0.6
Sean McGrath,Wsh,W 30-13,0/0,0,0,0,0,0,0,0.2,2.3,0,0.6
Jeremy Sprinkle,@LAC,L 13-30,0/0,0,0,0,0,0,0,0.2,2.3,0,0.6
Ben Koyack,Sea,W 30-24,0/0,0,0,0,0,0,0,0.2,2.2,0,0.5
Alan Cross,Det,L 21-24,0/0,0,0,0,0,0,0,0.1,1.2,0,0.3
Antony Auclair,Det,L 21-24,0/0,0,0,0,0,0,0,0.1,1.2,0,0.3
Kellen Winslow,@Den,L 0-23,0/0,0,0,0,0,0,0,0,0,0,0
Alex Smith,@LAC,L 13-30,0/0,0,0,0,0,0,0,0,0,0,0
Owen Daniels,NYJ,W 23-0,0/0,0,0,0,0,0,0,0,0,0,0
Daniel Fells,Dal,L 10-30,0/0,0,0,0,0,0,0,0,0,0,0
Matt Spaeth,Bal,W 39-38,0/0,0,0,0,0,0,0,0,0,0,0
Scott Chandler*,@Mia,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0
Clark Harris,Chi,L 7-33,0/0,0,0,0,0,0,0,0,0,0,0
Fred Davis,@LAC,L 13-30,0/0,0,0,0,0,0,0,0,0,0,0
Brandon Pettigrew,@TB,W 24-21,0/0,0,0,0,0,0,0,0,0,0,0
John Phillips,@Atl,L 17-20,0/0,0,0,0,0,0,0,0,0,0,0
Zach Miller*,@Cin,W 33-7,0/0,0,0,0,0,0,0,0,0,0,0
Brandon Myers,Det,L 21-24,0/0,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski,@Mia,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0
Dennis Pitta*,@Pit,L 38-39,0/0,0,0,0,0,0,0,0,0,0,0
Tony Moeaki,@Cin,W 33-7,0/0,0,0,0,0,0,0,0,0,0,0
Jim Dray,Ten,W 12-7,0/0,0,0,0,0,0,0,0,0,0,0
Garrett Graham,NYJ,W 23-0,0/0,0,0,0,0,0,0,0,0,0,0
Clay Harbor*,@Atl,L 17-20,0/0,0,0,0,0,0,0,0,0,0,0
Anthony McCoy,@Jax,L 24-30,0/0,0,0,0,0,0,0,0,0,0,0
Andrew Quarless,@TB,W 24-21,0/0,0,0,0,0,0,0,0,0,0,0
Richie Brockel,Min,W 31-24,0/0,0,0,0,0,0,0,0,0,0,0
Jeff Cumberland,Wsh,W 30-13,0/0,0,0,0,0,0,0,0,0,0,0
Logan Paulsen,@Hou,W 26-16,0/0,0,0,0,0,0,0,0,0,0,0
Rob Housler,@Mia,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0
Bruce Miller,@Hou,W 26-16,0/0,0,0,0,0,0,0,0,0,0,0
Luke Stocker,@Ari,L 7-12,0/0,0,0,0,0,0,0,0,0,0,0
David Ausberry,@TB,W 24-21,0/0,0,0,0,0,0,0,0,0,0,0
D.J. Williams,@LAC,L 13-30,0/0,0,0,0,0,0,0,0,0,0,0
Jordan Cameron,NE,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0
Coby Fleener*,@Atl,L 17-20,0/0,0,0,0,0,0,0,0,0,0,0
Ladarius Green,Bal,W 39-38,0/0,0,0,0,0,0,0,0,0,0,0
Greg Scruggs,@Mia,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0
Phillip Supernaw,@Ari,L 7-12,0/0,0,0,0,0,0,0,0,0,0,0
Beau Brinkley,@Ari,L 7-12,0/0,0,0,0,0,0,0,0,0,0,0
Dominique Jones,NE,W 27-20,0/0,0,0,0,0,0,0,0,0,0,0
Chase Ford,@Pit,L 38-39,0/0,0,0,0,0,0,0,0,0,0,0
Cooper Helfet,@KC,L 15-26,0/0,0,0,0,0,0,0,0,0,0,0
Brandon Bostick,@Den,L 0-23,0/0,0,0,0,0,0,0,0,0,0,0
Larry Donnell,@Pit,L 38-39,0/0,0,0,0,0,0,0,0,0,0,0
Ifeanyi Momah*,Ten,W 12-7,0/0,0,0,0,0,0,0,0,0,0,0
Tyler Eifert*,Chi,L 7-33,0/0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,@LAR,W 43-35,0/0,0,0,0,0,0,0,0,0,0,0
Gavin Escobar,@Pit,L 38-39,0/0,0,0,0,0,0,0,0,0,0,0
Jordan Reed*,@LAC,L 13-30,0/0,0,0,0,0,0,0,0,0,0,0
Ryan Griffin*,SF,L 16-26,0/0,0,0,0,0,0,0,0,0,0,0
Michael Williams,@Mia,L 20-27,0/0,0,0,0,0,0,0,0,0,0,0
Mychal Rivera*,Sea,W 30-24,0/0,0,0,0,0,0,0,0,0,0,0
Chris Gragg*,@Den,L 0-23,0/0,0,0,0,0,0,0,0,0,0,0
