PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Rams ,Ind,W 46-9,0,2.5,1.4,0.7,1.6,0.2,0.1,9
Panthers ,@SF,W 23-3,0,2.4,1.2,0.6,1,0.1,0.1,8.2
Bills ,NYJ,W 21-12,0,2.8,1.5,0.7,0.7,0.1,0.1,8
Texans ,Jax,L 7-29,0,2.8,1.2,0.6,0.8,0.1,0.1,7.9
Broncos ,LAC,W 24-21,0,2.1,1.2,0.6,1.1,0.1,0.1,7.1
Steelers ,@Cle,W 21-18,0,2.4,1.1,0.5,1,0.1,0.1,7.1
Falcons ,@Chi,W 23-17,0,2.4,1.4,0.7,0.8,0.1,0.1,7
Jaguars ,@Hou,W 29-7,0,2.2,1.2,0.6,0.8,0.1,0.1,6.7
Colts ,@LAR,L 9-46,0,1.9,1.3,0.6,1,0.1,0.1,6.5
Lions ,Ari,W 35-23,0,2,1.6,0.8,1,0.1,0.1,6.2
Seahawks ,@GB,L 9-17,0,2.7,0.9,0.5,0.6,0.1,0.1,6.2
Bengals ,Bal,L 0-20,0,2.1,1.1,0.6,1.1,0.1,0.1,6
Redskins ,Phi,L 17-30,0,2.4,1.3,0.7,0.8,0.1,0.1,5.8
Vikings ,NO,W 29-19,0,2.4,1.1,0.5,0.9,0.1,0.1,5.7
Chargers ,@Den,L 21-24,0,2.6,0.9,0.4,0.8,0.1,0.1,5.7
Patriots ,KC,L 27-42,0,2.3,0.9,0.5,0.6,0.1,0.1,5.6
Ravens ,@Cin,W 20-0,0,1.9,0.9,0.5,0.7,0.1,0.1,5.5
Packers ,Sea,W 17-9,0,2.9,0.9,0.4,0.7,0.1,0.1,5.5
49ers ,Car,L 3-23,0,2.5,0.8,0.4,0.7,0.1,0.1,5.3
Eagles ,@Wsh,W 30-17,0,1.7,1.3,0.7,0.8,0.1,0.1,5.1
Cowboys ,NYG,W 19-3,0,1.6,1,0.5,1,0.1,0.1,5.1
Cardinals ,@Det,L 23-35,0,2.3,1,0.5,0.6,0.1,0.1,4.8
Bears ,Atl,L 17-23,0,2.3,0.8,0.4,0.7,0.1,0.1,4.7
Giants ,@Dal,L 3-19,0,1.8,1.3,0.6,0.6,0.1,0.1,4.5
Titans ,Oak,L 16-26,0,2.1,1.3,0.7,0.4,0,0.1,4.5
Saints ,@Min,L 19-29,0,2.1,1.1,0.6,0.5,0.1,0.1,4.5
Raiders ,@Ten,W 26-16,0,1.4,1.2,0.6,0.6,0.1,0.1,4.4
Jets ,@Buf,L 12-21,0,2.2,0.8,0.4,0.2,0,0.1,3.6
Chiefs ,@NE,W 42-27,0,2,0.9,0.5,0.7,0.1,0.1,2.9
Browns ,Pit,L 18-21,0,1.1,0.9,0.5,0.9,0.1,0.1,2.3
Dolphins ,** BYE **,--,--,--,--,--,--,--,--,
Buccaneers ,** BYE **,--,--,--,--,--,--,--,--,
