PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Russell Wilson,@Ari,W 22-16,22.6/35.4,274.9,2,0.9,5.3,26.5,0.1,0,0,0,19.9
Dak Prescott,@Atl,L 7-27,20.7/32.4,234.7,1.8,0.4,3.4,17.6,0.2,0,0,0,18.6
Ben Roethlisberger,@Ind,W 20-17,22.9/35.4,290,1.9,0.8,1.7,3.4,0,0,0,0,18.5
Tom Brady,@Den,W 41-16,24.3/37.1,276.9,1.9,0.5,2,1.9,0.1,0,0,0,18.1
Matthew Stafford,Cle,W 38-24,21.5/33.7,250.9,2,0.6,2.3,7.4,0.1,0,0,0,17.7
Matt Ryan,Dal,W 27-7,23.1/34.8,278.7,1.7,0.6,1.9,6.4,0,0,0,0,17.6
Tyrod Taylor,NO,L 10-47,18.8/29.4,202.1,1.3,0.3,6,36.1,0.2,0,0,0,17.3
Cam Newton,Mia,W 45-21,18.3/30.3,224.4,1.3,0.8,6.9,30.4,0.3,0,0,0,16.8
Ryan Fitzpatrick,NYJ,W 15-10,22.2/35.8,255.4,1.6,1,3,13.8,0.1,0,0,0,16.6
Andy Dalton,@Ten,L 20-24,22.7/35.6,247.5,1.6,0.8,3,10.8,0.1,0,0,0,15.9
Eli Manning,@SF,L 21-31,23.9/38.4,266.9,1.8,0.9,1.2,1.8,0,0,0,0,15.9
Jared Goff,Hou,W 33-7,19.4/31.8,256,1.6,0.6,1.7,4.9,0.1,0,0,0,15.9
Josh McCown*,@TB,L 10-15,19.9/31.8,230.9,1.7,0.8,3.1,13.4,0.2,0,0,0,15.8
Drew Brees,@Buf,W 47-10,26.1/38.7,275.6,1.5,0.9,1.4,1.6,0.1,0,0,0,15.7
Kirk Cousins,Min,L 30-38,23.6/36.2,277.3,1.5,0.8,2,4.3,0.1,0,0,0,15.5
Marcus Mariota,Cin,W 24-20,18.9/30.6,222,1.2,0.7,4.3,20.6,0.1,0,0,0,15.1
Brock Osweiler,NE,L 16-41,23.9/39.3,267.4,1.4,1.2,2.3,7.3,0.1,0,0,0,14.1
Jacoby Brissett,Pit,L 17-20,20.1/32.6,226.5,0.9,0.5,3.9,18.6,0.2,0,0,0,13.9
Case Keenum,@Wsh,W 38-30,22.1/34.5,229.1,1.3,0.8,2,6.2,0.1,0,0,0,13.9
Drew Stanton,Sea,L 16-22,22.7/38.5,260.9,1.2,1.2,3.1,7.6,0.1,0,0,0,13.8
C.J. Beathard,NYG,W 31-21,20.9/35.8,230.2,1.2,1,3.3,13.5,0.1,0,0,0,13.6
DeShone Kizer,@Det,L 24-38,20.4/35,224,1,1.7,5.7,30.9,0.2,0,0,0,13.6
Blake Bortles,LAC,W 20-17,16.8/27.8,186.2,1.1,0.6,3.8,22.5,0.1,0,0,0,13.2
Jay Cutler,@Car,L 21-45,21/32.7,224,1.2,0.9,2.1,8,0,0,0,0,12.6
Philip Rivers,@Jax,L 17-20,22.7/36.1,245.7,1.2,1.2,1.3,3.4,0,0,0,0,12.5
Mitchell Trubisky,GB,L 16-23,15.6/25.7,186.1,1.2,0.5,2.9,13.6,0.1,0,0,0,12.5
Tom Savage*,@LAR,L 7-33,20.2/34.5,208.7,1.3,1,1.7,5.3,0,0,0,0,11
Brett Hundley,@Chi,W 23-16,20.5/33.8,202.8,0.9,1.2,3.4,13.5,0.1,0,0,0,10.6
Jake Rudock,Cle,W 38-24,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Landry Jones,@Ind,W 20-17,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Austin Davis,@Ari,W 22-16,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Ryan Griffin,NYJ,W 15-10,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Geno Smith,@SF,L 21-31,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Cooper Rush,@Atl,L 7-27,0.1/0.2,1.1,0,0,0,0,0,0,0,0,0.1
Jimmy Garoppolo,NYG,W 31-21,0.1/0.2,1.4,0,0,0,0,0,0,0,0,0.1
Brian Hoyer,@Den,W 41-16,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Paxton Lynch,NE,L 16-41,0.1/0.2,1.4,0,0,0,0,0,0,0,0,0.1
Matt Schaub,Dal,W 27-7,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Bryce Petty,@TB,L 10-15,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Teddy Bridgewater,@Wsh,W 38-30,0.1/0.2,1.1,0,0,0,0.1,0,0,0,0,0.1
