PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Stephen Gostkowski,NYJ,W 26-6,1.2/1.3,0.6/0.7,0.2/0.4,2.1/2.3,3.4/3.5,10.4
Justin Tucker,Cin,L 27-31,1.4/1.4,0.6/0.7,0.3/0.4,2.3/2.5,2.2/2.3,10
Robbie Gould,@LAR,W 34-13,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.3,2.4/2.4,9.4
Matt Prater,GB,W 35-11,1.2/1.2,0.5/0.6,0.2/0.3,1.9/2.1,2.7/2.7,9.2
Wil Lutz,@TB,L 24-31,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.8/3,9
Kai Forbath,Chi,W 23-10,1.2/1.3,0.6/0.7,0.2/0.3,2/2.3,2.4/2.5,9
Matt Bryant,Car,W 22-10,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.3/2.3,8.8
Nick Rose,Oak,W 30-10,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.3/2.4,8.5
Chris Boswell,Cle,W 28-24,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.4/2.4,8.5
Adam Vinatieri,Hou,W 22-13,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2/2.1,8.4
Josh Lambo,@Ten,L 10-15,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.2/2.3,8.4
Ryan Succop,Jax,W 15-10,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,1.8/1.8,8.3
Sam Ficken,SF,L 13-34,1/1.2,0.5/0.6,0.2/0.3,1.7/2.2,2.2/2.5,7.7
Stephen Hauschka,@Mia,W 22-16,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,1.8/1.9,7.6
Cody Parkey,Buf,L 16-22,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2.1/2.2,7.6
Graham Gano,@Atl,L 10-22,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2/2.1,7.5
Jake Elliott,Dal,L 0-6,1/1,0.4/0.6,0.2/0.3,1.6/1.8,2.1/2.2,7.4
Patrick Murray,NO,W 31-24,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.9/2,7.4
Brandon McManus,KC,L 24-27,1/1.1,0.5/0.6,0.2/0.3,1.6/2,1.9/2,7.2
Dan Bailey,@Phi,W 6-0,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,2.5/2.6,7
Ka'imi Fairbairn,@Ind,L 13-22,1/1,0.4/0.6,0.2/0.3,1.6/1.9,1.7/1.9,7
Aldrick Rosas,Wsh,W 18-10,1/1,0.4/0.6,0.2/0.3,1.6/1.9,1.7/1.8,7
Blair Walsh,Ari,L 24-26,0.9/1.1,0.4/0.6,0.2/0.3,1.5/1.9,2/2.3,7
Mason Crosby,@Det,L 11-35,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.2/2.4,6.8
Dustin Hopkins,@NYG,L 10-18,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.1/2.3,6.7
Harrison Butker,@Den,W 27-24,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,1.5/1.6,6.6
Phil Dawson,@Sea,W 26-24,1/1.1,0.5/0.6,0.2/0.3,1.6/2,1.2/1.3,6.6
Chandler Catanzaro,@NE,L 6-26,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,1.4/1.5,5.9
Zane Gonzalez,@Pit,L 24-28,0.7/0.7,0.3/0.4,0.1/0.2,1.1/1.3,1.5/1.6,5.2
Giorgio Tavecchio,@LAC,L 10-30,0.6/0.7,0.3/0.4,0.1/0.2,1.1/1.2,1.6/1.7,5.2
Randy Bullock,@Bal,W 31-27,0.6/0.7,0.3/0.4,0.1/0.2,1.1/1.3,1.5/1.6,5
Mike Nugent,@Min,L 10-23,0.7/0.8,0.3/0.4,0.1/0.2,1.1/1.4,1.1/1.2,4.7
Sebastian Janikowski*,@LAC,L 10-30,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,Car,W 22-10,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,@Pit,L 24-28,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,Wsh,W 18-10,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,@TB,L 24-31,0/0,0/0,0/0,0/0,0/0,0
Nick Novak*,Oak,W 30-10,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,Cle,W 28-24,0/0,0/0,0/0,0/0,0/0,0
