PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Jaguars ,@Cle,W 19-7,0,3.4,0.8,0.4,1.7,0.2,0.1,14.5
Chargers ,Buf,W 54-24,0,3.1,1.2,0.6,0.9,0.1,0.1,8.7
Texans ,Ari,W 31-21,0,2.9,1.8,0.9,1.2,0.1,0.1,8.7
Bengals ,@Den,W 20-17,0,2.5,1.3,0.6,1.1,0.1,0.1,8.6
Ravens ,@GB,W 23-0,0,2.2,1.3,0.7,1.5,0.2,0.1,8.4
Cardinals ,@Hou,L 21-31,0,2.9,1.7,0.8,1,0.1,0.1,8
Lions ,@Chi,W 27-24,0,2,1.2,0.6,0.8,0.1,0.1,7.2
Broncos ,Cin,L 17-20,0,2.2,1.2,0.6,0.6,0.1,0.1,6.9
Rams ,@Min,L 7-24,0,2.2,1,0.5,1,0.1,0.1,6.7
Packers ,Bal,L 0-23,0,1.9,1.4,0.7,0.8,0.1,0.1,6.3
Dolphins ,TB,L 20-30,0,1.8,0.7,0.4,1.1,0.1,0.1,6.3
Buccaneers ,@Mia,W 30-20,0,1.8,1,0.5,1,0.1,0.1,6.2
Eagles ,@Dal,W 37-9,0,2.5,1.3,0.7,0.5,0.1,0.1,6.2
Vikings ,LAR,W 24-7,0,2.3,1.9,1,0.7,0.1,0.1,6.2
Cowboys ,Phi,L 9-37,0,3.2,1.4,0.7,0.6,0.1,0.1,6.1
Bears ,Det,L 24-27,0,2.6,1.2,0.6,0.4,0,0.1,5.9
Falcons ,@Sea,W 34-31,0,3.1,1.1,0.6,0.5,0.1,0.1,5.7
Chiefs ,@NYG,L 9-12,0,1.8,1.3,0.6,0.9,0.1,0.1,5.5
Steelers ,Ten,W 40-17,0,2.1,0.8,0.4,0.6,0.1,0.1,5.4
Browns ,Jax,L 7-19,0,1.7,1,0.5,0.7,0.1,0.1,5.4
Bills ,@LAC,L 24-54,0,1.6,0.9,0.5,1.1,0.1,0.1,5.3
Seahawks ,Atl,L 31-34,0,2.2,1.1,0.6,0.7,0.1,0.1,5.1
Saints ,Wsh,W 34-31,0,1.8,1.6,0.8,0.6,0.1,0.1,5
Patriots ,@Oak,W 33-8,0,1,1.3,0.6,0.8,0.1,0.1,4.4
Titans ,@Pit,L 17-40,0,1.3,0.8,0.4,0.9,0.1,0.1,4.4
Giants ,KC,W 12-9,0,1.9,0.6,0.3,0.3,0,0.1,3.3
Redskins ,@NO,L 31-34,0,1.6,1,0.5,0.8,0.1,0.1,1.6
Raiders ,NE,L 8-33,0,1.7,1.2,0.6,0.2,0,0.1,0.5
Colts ,** BYE **,--,--,--,--,--,--,--,--
Jets ,** BYE **,--,--,--,--,--,--,--,--
49ers ,** BYE **,--,--,--,--,--,--,--,--
Panthers ,** BYE **,--,--,--,--,--,--,--,--
