PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Greg Zuerlein*,Phi,L 35-43,1.6/1.7,0.7/0.9,0.3/0.5,2.7/3,2.6/2.6,11.5
Stephen Gostkowski,@Mia,L 20-27,1.3/1.4,0.6/0.7,0.2/0.4,2.2/2.5,3/3.1,10.2
Chris Boswell,Bal,W 39-38,1.3/1.4,0.6/0.8,0.3/0.4,2.2/2.5,2.1/2.1,9.5
Wil Lutz,@Atl,L 17-20,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.6/2.7,9.3
Matt Prater,@TB,W 24-21,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,2.3/2.3,9.2
Matt Bryant,NO,W 20-17,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.2,2.5/2.6,8.9
Patrick Murray,Det,L 21-24,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.3/2.4,8.8
Ryan Succop,@Ari,L 7-12,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.2/2.3,8.8
Harrison Butker,Oak,W 26-15,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.3/2.4,8.5
Stephen Hauschka,Ind,W 13-7,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.1/2.2,8.3
Justin Tucker,@Pit,L 38-39,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,1.5/1.5,8.2
Robbie Gould,@Hou,W 26-16,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.1/2.2,8.2
Travis Coons,Wsh,W 30-13,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.5/2.8,8.2
Graham Gano,Min,W 31-24,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,1.8/1.9,8.1
Jake Elliott,@LAR,W 43-35,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.4/2.5,8.1
Ka'imi Fairbairn,SF,L 16-26,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2.1/2.3,8
Phil Dawson,Ten,W 12-7,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.2/2.4,7.9
Josh Lambo,Sea,W 30-24,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,1.8/1.9,7.8
Brandon McManus,NYJ,W 23-0,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.9/2,7.8
Chandler Catanzaro,@Den,L 0-23,1/1,0.4/0.6,0.2/0.3,1.6/1.9,2.3/2.5,7.6
Kai Forbath,@Car,L 24-31,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2/2.1,7.4
Adam Vinatieri,@Buf,L 7-13,1/1,0.5/0.5,0.2/0.3,1.6/1.8,1.6/1.7,7.3
Dan Bailey,@NYG,W 30-10,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,2.3/2.3,7
Mason Crosby,@Cle,W 27-21,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.1/2.3,7
Nick Rose,Wsh,W 30-13,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,1.9/2,6.6
Zane Gonzalez,GB,L 21-27,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,1.9/2,6.5
Aldrick Rosas,Dal,L 10-30,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,1.6/1.7,6.4
Giorgio Tavecchio,@KC,L 15-26,0.7/0.8,0.3/0.4,0.1/0.2,1.2/1.4,2.3/2.4,6.2
Blair Walsh,@Jax,L 24-30,0.9/1,0.4/0.6,0.2/0.3,1.5/1.8,1.4/1.6,6.2
Randy Bullock,Chi,L 7-33,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.5,1.8/2,6
Mike Nugent,@Cin,W 33-7,0.9/1,0.4/0.5,0.2/0.3,1.4/1.8,1.3/1.5,6
Cody Parkey,NE,W 27-20,0.7/0.8,0.3/0.4,0.1/0.2,1.2/1.4,1.6/1.7,5.5
Sebastian Janikowski*,@KC,L 15-26,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,NO,W 20-17,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,GB,L 21-27,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,Dal,L 10-30,0/0,0/0,0/0,0/0,0/0,0
Josh Scobee,@Atl,L 17-20,0/0,0/0,0/0,0/0,0/0,0
Nick Novak*,Wsh,W 30-13,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,Bal,W 39-38,0/0,0/0,0/0,0/0,0/0,0
Nick Folk*,Det,L 21-24,0/0,0/0,0/0,0/0,0/0,0
Jason Myers,@Jax,L 24-30,0/0,0/0,0/0,0/0,0/0,0
Kyle Brindza,@Den,L 0-23,0/0,0/0,0/0,0/0,0/0,0
Andrew Franks,NE,W 27-20,0/0,0/0,0/0,0/0,0/0,0
Roberto Aguayo,@Cin,W 33-7,0/0,0/0,0/0,0/0,0/0,0
Younghoe Koo,Wsh,W 30-13,0/0,0/0,0/0,0/0,0/0,0
Sam Ficken,Phi,L 35-43,--/--,--/--,--/--,--/--,--/--,--
