PLAYER,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS
Ravens ,Ind,W 23-16,0,3.3,1.3,0.7,0.7,0.1,0.1,12.5
Vikings ,@GB,W 16-0,0,3.3,0.9,0.5,1.2,0.1,0.1,11.3
Chargers ,@NYJ,W 14-7,0,2.7,0.4,0.2,1.5,0.2,0.1,10.9
Bears ,Cle,W 20-3,0,2.4,1.2,0.6,1.1,0.1,0.1,10.4
Panthers ,TB,W 22-19,0,3.1,1.5,0.8,1,0.1,0.1,9.1
Jaguars ,@SF,L 33-44,0,3.6,0.9,0.5,1,0.1,0.1,9.1
Steelers ,@Hou,W 34-6,0,3.5,1.5,0.8,1.1,0.1,0.1,8.9
Chiefs ,Mia,W 29-13,0,2.3,1.2,0.6,1.1,0.1,0.1,8.4
Redskins ,Den,W 27-11,0,2.1,0.7,0.4,1.1,0.1,0.1,7.7
Cardinals ,NYG,W 23-0,0,1.8,1.1,0.5,0.9,0.1,0.1,7.1
Patriots ,Buf,W 37-16,0,2.9,0.9,0.5,0.4,0,0.1,7.1
Eagles ,Oak,W 19-10,0,1.9,1.1,0.6,0.8,0.1,0.1,7
Browns ,@Chi,L 3-20,0,1.8,1.3,0.6,0.4,0,0.1,6.9
Bengals ,Det,W 26-17,0,3.1,1.3,0.6,0.5,0.1,0.1,6.7
Rams ,@Ten,W 27-23,0,2.7,0.6,0.3,0.9,0.1,0.1,6.6
Cowboys ,Sea,L 12-21,0,2.7,1.1,0.5,0.8,0.1,0.1,6
49ers ,Jax,W 44-33,0,1.9,1.1,0.5,0.7,0.1,0.1,5.6
Seahawks ,@Dal,W 21-12,0,1.9,0.8,0.4,0.7,0.1,0.1,5.5
Broncos ,@Wsh,L 11-27,0,2.1,1.3,0.6,0.5,0.1,0.1,5.5
Lions ,@Cin,L 17-26,0,1.7,0.8,0.4,0.7,0.1,0.1,5.5
Raiders ,@Phi,L 10-19,0,1.6,1.3,0.7,0.6,0.1,0.1,5.3
Buccaneers ,@Car,L 19-22,0,1.7,0.9,0.5,1.1,0.1,0.1,5.3
Jets ,LAC,L 7-14,0,1.4,0.9,0.5,0.8,0.1,0.1,5.2
Giants ,@Ari,L 0-23,0,1.9,0.8,0.4,1,0.1,0.1,5.2
Titans ,LAR,L 23-27,0,2.1,1.7,0.9,0.5,0.1,0.1,5.2
Colts ,@Bal,L 16-23,0,1.1,1.1,0.6,0.7,0.1,0.1,4.8
Dolphins ,@KC,L 13-29,0,2.2,0.6,0.3,0.5,0.1,0.1,4
Saints ,Atl,W 23-13,0,1.5,0.8,0.4,0.7,0.1,0.1,4
Falcons ,@NO,L 13-23,0,1.6,0.8,0.4,0.6,0.1,0.1,3.9
Bills ,@NE,L 16-37,0,1.8,0.9,0.4,0.8,0.1,0.1,3.7
Packers ,Min,L 0-16,0,1.4,0.7,0.4,0.6,0.1,0.1,3.5
Texans ,Pit,L 6-34,0,1.3,0.8,0.4,1,0.1,0.1,2.4
