PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Greg Zuerlein*,@Min,L 7-24,1.5/1.5,0.7/0.8,0.3/0.4,2.4/2.8,2.2/2.3,10.4
Stephen Gostkowski,@Oak,W 33-8,1.3/1.4,0.6/0.8,0.2/0.4,2.2/2.5,3/3.1,10.4
Chris Boswell,Ten,W 40-17,1.3/1.4,0.6/0.7,0.2/0.4,2.2/2.5,2.4/2.5,9.7
Wil Lutz,Wsh,W 34-31,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,3.3/3.5,9.6
Kai Forbath,LAR,W 24-7,1.3/1.3,0.6/0.7,0.2/0.4,2.1/2.4,2.5/2.6,9.5
Ryan Succop,@Pit,L 17-40,1.3/1.4,0.6/0.7,0.2/0.4,2.2/2.5,1.7/1.8,9
Jake Elliott,@Dal,W 37-9,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,2.7/2.9,8.8
Harrison Butker,@NYG,L 9-12,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,2.6/2.8,8.7
Matt Prater,@Chi,W 27-24,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,1.9/1.9,8.7
Josh Lambo,@Cle,W 19-7,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.3,2.2/2.4,8.4
Justin Tucker,@GB,W 23-0,1.2/1.2,0.5/0.6,0.2/0.3,1.9/2.1,1.7/1.7,8.2
Brandon McManus,Cin,L 17-20,1.2/1.3,0.5/0.7,0.2/0.3,1.9/2.3,1.6/1.7,8.1
Patrick Murray,@Mia,W 30-20,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.1/2.2,8
Matt Bryant,@Sea,W 34-31,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,1.8/1.8,7.9
Nick Rose,Buf,W 54-24,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.3,7.8
Mason Crosby,Bal,L 0-23,1.1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,1.8/2,7.5
Ka'imi Fairbairn,Ari,W 31-21,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2/2.1,7.5
Stephen Hauschka,@LAC,L 24-54,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,1.6/1.7,7.4
