PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Jake Elliott,SF,W 33-10,1.4/1.5,0.6/0.8,0.3/0.4,2.3/2.7,2.8/3,10.3
Stephen Gostkowski,LAC,W 21-13,1.2/1.3,0.6/0.7,0.2/0.3,2/2.3,3/3.1,9.9
Justin Tucker,Mia,W 40-0,1.2/1.3,0.6/0.7,0.2/0.3,2.1/2.3,1.9/1.9,9
Harrison Butker,Den,W 29-19,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.2/2.4,9
Nick Rose,@NE,L 13-21,1.2/1.3,0.5/0.7,0.2/0.3,1.9/2.3,2.4/2.5,8.8
Kai Forbath,@Cle,W 33-16,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2/2.1,8.8
Stephen Hauschka,Oak,W 34-14,1.2/1.3,0.6/0.7,0.2/0.4,2/2.3,2.1/2.2,8.6
Graham Gano,@TB,W 17-3,1.2/1.3,0.5/0.7,0.2/0.4,2/2.3,2.1/2.2,8.6
Chris Boswell,@Det,W 20-15,1.2/1.2,0.5/0.7,0.2/0.3,2/2.2,1.9/2,8.6
Wil Lutz,Chi,W 20-12,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.9/3.1,8.5
Matt Prater,Pit,L 15-20,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.3/2.3,8.5
Matt Bryant,@NYJ,W 25-20,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.4/2.4,8.4
Randy Bullock,Ind,W 24-23,1.1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.4/2.6,8.2
Patrick Murray,Car,L 3-17,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.9/2.1,7.9
Chandler Catanzaro,Atl,L 20-25,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2/2.1,7.7
Blair Walsh,Hou,W 41-38,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.1/2.2,7.7
Robbie Gould,@Phi,L 10-33,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.4/1.5,7.2
Brandon McManus,@KC,L 19-29,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.6/1.8,7.1
Cody Parkey,@Bal,L 0-40,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,1.6/1.7,7.1
Giorgio Tavecchio,@Buf,L 14-34,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.9/2,6.9
Nick Novak*,@NE,L 13-21,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.2/2.4,6.9
Ka'imi Fairbairn,@Sea,L 38-41,0.9/1,0.4/0.5,0.2/0.3,1.5/1.7,1.9/2.1,6.8
Adam Vinatieri,@Cin,L 23-24,0.9/0.9,0.4/0.5,0.2/0.2,1.5/1.7,1.5/1.5,6.5
Mike Nugent,@NO,L 12-20,0.8/0.9,0.4/0.5,0.1/0.2,1.3/1.6,2.3/2.6,6.5
Connor Barth,@NO,L 12-20,0.7/0.8,0.3/0.4,0.1/0.2,1.2/1.5,1.8/1.9,5.8
Zane Gonzalez,Min,L 16-33,0.7/0.8,0.3/0.4,0.1/0.2,1.2/1.4,1.2/1.2,5
Phil Dawson,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Sebastian Janikowski*,@Buf,L 14-34,0/0,0/0,0/0,0/0,0/0,0
Shayne Graham,@NYJ,W 25-20,0/0,0/0,0/0,0/0,0/0,0
Billy Cundiff,Min,L 16-33,0/0,0/0,0/0,0/0,0/0,0
Josh Brown,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Josh Scobee,Chi,W 20-12,0/0,0/0,0/0,0/0,0/0,0
Shaun Suisham,@Det,W 20-15,0/0,0/0,0/0,0/0,0/0,0
Nick Folk*,Car,L 3-17,0/0,0/0,0/0,0/0,0/0,0
Mason Crosby,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Garrett Hartley,@Det,W 20-15,0/0,0/0,0/0,0/0,0/0,0
Dan Carpenter,Oak,W 34-14,0/0,0/0,0/0,0/0,0/0,0
Ryan Succop,** BYE **,0/0,0/0,0/0,0/0,0/0,--
Dan Bailey,@Wsh,W 33-19,0/0,0/0,0/0,0/0,0/0,0
Greg Zuerlein*,** BYE **,0/0,0/0,0/0,0/0,0/0,--
