PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Alex Smith,Oak,W 26-15,21.8/33.1,251.1,1.7,0.2,3.8,19,0.1,0,0,0,19
Tom Brady,@Mia,L 20-27,23.1/35,274,2,0.6,2.1,2.8,0.1,0,0,0,18.3
Carson Wentz*,@LAR,W 43-35,21.2/35.4,248.1,1.9,0.7,3.7,14.1,0.1,0,0,0,17.6
Matt Ryan,NO,W 20-17,22.5/33.9,274.9,1.7,0.6,1.9,6.5,0,0,0,0,17.3
Matthew Stafford,@TB,W 24-21,22.9/35.8,274.4,1.8,0.9,2.2,8.6,0.1,0,0,0,17
Philip Rivers,Wsh,W 30-13,21.2/33.5,254.3,2.1,0.8,1.4,3.4,0,0,0,0,17
Jameis Winston,Det,L 21-24,21.8/35.5,263.2,1.8,1,2.8,12.6,0.1,0,0,0,17
Jared Goff,Phi,L 35-43,22.1/35.8,259.4,1.8,0.7,1.5,3.1,0.1,0,0,0,16.2
Drew Brees,@Atl,L 17-20,24.9/36.5,265.7,1.5,0.6,1.4,2.2,0.1,0,0,0,16
Blaine Gabbert,Ten,W 12-7,23.2/37.9,249.8,1.8,1.2,3.7,14.2,0.1,0,0,0,15.8
Russell Wilson,@Jax,L 24-30,22.9/36,241.1,1.3,0.9,5.1,26,0.1,0,0,0,15.7
Jimmy Garoppolo,@Hou,W 26-16,22.4/35.7,274.5,1.3,0.8,2.8,11.6,0.1,0,0,0,15.6
Dak Prescott,@NYG,W 30-10,19.4/30.6,219.5,1.3,0.6,3.5,18.9,0.2,0,0,0,15.4
Cam Newton,Min,W 31-24,19.6/32.5,221.3,1.1,0.9,6.5,27.5,0.2,0,0,0,15.3
DeShone Kizer,GB,L 21-27,20/34.8,235.6,1.1,1.4,5.9,32.1,0.3,0,0,0,15.3
Ben Roethlisberger,Bal,W 39-38,22.3/34.6,267,1.6,1.1,1.7,3.1,0,0,0,0,15.1
Andy Dalton,Chi,L 7-33,18.6/29.6,227.9,1.4,0.4,3,10.6,0.1,0,0,0,15.1
Derek Carr,@KC,L 15-26,22.8/36.7,247.2,1.5,0.6,2.2,5.1,0.1,0,0,0,15
Josh McCown*,@Den,L 0-23,19.2/30.5,213.5,1.5,0.6,3.1,12.4,0.2,0,0,0,15
Jay Cutler,NE,W 27-20,24.3/38.1,260.1,1.4,1.1,2.2,10,0,0,0,0,14.7
Trevor Siemian*,NYJ,W 23-0,21.6/35.9,251,1.4,0.9,2.3,9,0.1,0,0,0,14.7
Kirk Cousins,@LAC,L 13-30,24.4/37.6,258.7,1.3,0.9,2.5,8.1,0.1,0,0,0,14.5
Marcus Mariota,@Ari,L 7-12,19.7/31.8,223.9,1,0.9,4.2,19,0.2,0,0,0,14.4
Eli Manning,Dal,L 10-30,23/36.7,265.1,1.3,0.8,1.1,1.9,0,0,0,0,13.9
Case Keenum,@Car,L 24-31,22.2/33.8,228,1.3,0.7,1.7,5.2,0.1,0,0,0,13.8
Tom Savage*,SF,L 16-26,19.8/33.8,222.3,1.6,0.7,1.8,5.2,0.1,0,0,0,13.7
Brett Hundley,@Cle,W 27-21,19.6/32.3,195.9,1.6,1.1,3.6,13.4,0.1,0,0,0,13.7
Jacoby Brissett,@Buf,L 7-13,20.7/33.6,225.7,0.9,0.8,4.1,20.7,0.1,0,0,0,13.5
