PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Antonio Brown*,Ten,W 40-17,0/0,0,0,0,0.1,0.8,0,7.6,98.4,0.6,21.3
Michael Thomas,Wsh,W 34-31,0/0,0,0,0,0,0,0,6.6,84.6,0.6,18.7
A.J. Green,@Den,W 20-17,0/0,0,0,0,0,0,0,5.8,78.7,0.5,16.6
Julio Jones,@Sea,W 34-31,0/0,0,0,0,0,0,0,6.1,84.3,0.3,16.2
Dez Bryant,Phi,L 9-37,0/0,0,0,0,0,0,0,5.2,70.5,0.6,15.8
Doug Baldwin,Atl,L 31-34,0/0,0,0,0,0.3,1.6,0,5.7,70,0.4,15.3
Adam Thielen,LAR,W 24-7,0/0,0,0,0,0,0,0,5.5,74.2,0.4,15.2
Keenan Allen,Buf,W 54-24,0/0,0,0,0,0,0,0,5.7,70.2,0.4,14.9
DeAndre Hopkins*,Ari,W 31-21,0/0,0,0,0,0,0,0,5.4,68.3,0.4,14.7
Jarvis Landry,TB,L 20-30,0/0,0,0,0,0.3,1.4,0,6,63,0.3,14.4
Mike Evans,@Mia,W 30-20,0/0,0,0,0,0,0,0,4.8,63.3,0.5,14.1
Michael Crabtree,NE,L 8-33,0/0,0,0,0,0,0,0,5.2,62.9,0.4,14
Stefon Diggs,LAR,W 24-7,0/0,0,0,0,0.5,3.5,0,5.2,60.4,0.4,13.9
Tyreek Hill*,@NYG,L 9-12,0/0,0,0,0,2.3,14.8,0.1,4.4,51.7,0.3,13.8
Brandin Cooks,@Oak,W 33-8,0/0,0,0,0,0.3,1.6,0,4.5,66.9,0.4,13.7
Alshon Jeffery,@Dal,W 37-9,0/0,0,0,0,0,0,0,4.2,63.7,0.5,13.6
Golden Tate,@Chi,W 27-24,0/0,0,0,0,0.3,1.4,0,5.7,59.4,0.3,13.4
Amari Cooper,NE,L 8-33,0/0,0,0,0,0,0,0,4.8,65.4,0.3,13.3
Larry Fitzgerald,@Hou,L 21-31,0/0,0,0,0,0,0,0,5.3,58.5,0.3,12.9
Demaryius Thomas,Cin,L 17-20,0/0,0,0,0,0,0,0,5.3,58,0.3,12.7
Emmanuel Sanders*,Cin,L 17-20,0/0,0,0,0,0,0,0,4.8,57,0.3,12
Robert Woods,@Min,L 7-24,0/0,0,0,0,0.3,1.6,0,4.4,58.3,0.2,11.8
Jamison Crowder,@NO,L 31-34,0/0,0,0,0,0.7,4.3,0,4.4,52.2,0.2,11.6
DeVante Parker,TB,L 20-30,0/0,0,0,0,0,0,0,3.9,55.7,0.3,11.4
DeSean Jackson*,@Mia,W 30-20,0/0,0,0,0,0.2,1.5,0,3.5,56.3,0.3,11
Mohamed Sanu,@Sea,W 34-31,0/0,0,0,0,0,0,0,4.8,48.6,0.2,11
JuJu Smith-Schuster,Ten,W 40-17,0/0,0,0,0,0,0,0,3.8,51.4,0.3,10.9
Davante Adams*,Bal,L 0-23,0/0,0,0,0,0,0,0,4.3,47.7,0.3,10.6
Josh Doctson,@NO,L 31-34,0/0,0,0,0,0,0,0,3.3,48.6,0.4,10.6
Cooper Kupp,@Min,L 7-24,0/0,0,0,0,0,0,0,3.8,48.9,0.3,10.4
Marqise Lee*,@Cle,W 19-7,0/0,0,0,0,0.3,1.9,0,3.6,45.7,0.3,10.4
Nelson Agholor,@Dal,W 37-9,0/0,0,0,0,0,0,0,3.5,45.1,0.4,10.3
Marvin Jones Jr.,@Chi,W 27-24,0/0,0,0,0,0,0,0,3.5,47.5,0.3,10.2
Jordy Nelson*,Bal,L 0-23,0/0,0,0,0,0,0,0,3.8,48.3,0.3,10.2
Rishard Matthews,@Pit,L 17-40,0/0,0,0,0,0,0,0,3.8,49,0.2,9.9
Kelvin Benjamin,@LAC,L 24-54,0/0,0,0,0,0,0,0,3.6,46.9,0.3,9.8
Danny Amendola,@Oak,W 33-8,0/0,0,0,0,0,0,0,4,40.9,0.3,9.8
Ted Ginn Jr.,Wsh,W 34-31,0/0,0,0,0,0.5,3.8,0,2.8,44.7,0.3,9.7
Jeremy Maclin*,@GB,W 23-0,0/0,0,0,0,0,0,0,4,45.4,0.2,9.7
Roger Lewis,KC,W 12-9,0/0,0,0,0,0,0,0,3.4,46.2,0.3,9.6
Brandon LaFell,@Den,W 20-17,0/0,0,0,0,0,0,0,3.2,36.2,0.2,8.2
Ryan Grant,@NO,L 31-34,0/0,0,0,0,0,0,0,3.2,37,0.2,8.1
Paul Richardson,Atl,L 31-34,0/0,0,0,0,0,0,0,2.8,38.4,0.2,8.1
Corey Coleman,Jax,L 7-19,0/0,0,0,0,0.2,1.4,0,3.3,36.9,0.1,7.9
Travis Rudolph,KC,W 12-9,0/0,0,0,0,0,0,0,2.8,36.6,0.2,7.9
Jaron Brown,@Hou,L 21-31,0/0,0,0,0,0,0,0,2.8,37.6,0.2,7.8
Cole Beasley*,Phi,L 9-37,0/0,0,0,0,0,0,0,3.3,33.4,0.2,7.7
Dontrelle Inman,Det,L 24-27,0/0,0,0,0,0,0,0,2.7,39.2,0.2,7.7
Martavis Bryant,Ten,W 40-17,0/0,0,0,0,0.5,3.3,0,2.4,32.6,0.3,7.7
Eric Decker,@Pit,L 17-40,0/0,0,0,0,0,0,0,2.9,33.9,0.2,7.4
Tyrell Williams,Buf,W 54-24,0/0,0,0,0,0,0,0,2.4,36.1,0.2,7.3
Kenny Golladay,@Chi,W 27-24,0/0,0,0,0,0,0,0,2.4,29.6,0.3,7
J.J. Nelson,@Hou,L 21-31,0/0,0,0,0,0.4,2.7,0,2.1,33.4,0.2,6.7
Taylor Gabriel,@Sea,W 34-31,0/0,0,0,0,0.7,4.3,0,2.4,31.3,0.1,6.7
Travis Benjamin,Buf,W 54-24,0/0,0,0,0,0.5,3.6,0,1.9,28.8,0.2,6.4
Demarcus Robinson,@NYG,L 9-12,0/0,0,0,0,0,0,0,2.3,28.1,0.2,6.3
Kendall Wright,Det,L 24-27,0/0,0,0,0,0,0,0,2.4,31.3,0.1,6.2
Adam Humphries,@Mia,W 30-20,0/0,0,0,0,0,0,0,2.6,27,0.1,6.2
Seth Roberts,NE,L 8-33,0/0,0,0,0,0,0,0,2.2,28.2,0.2,6.2
Keelan Cole,@Cle,W 19-7,0/0,0,0,0,0,0,0,2.1,28.3,0.2,6
Torrey Smith,@Dal,W 37-9,0/0,0,0,0,0,0,0,1.6,27.2,0.2,5.8
De'Anthony Thomas*,@NYG,L 9-12,0/0,0,0,0,0.4,2.5,0,2.2,21.1,0.1,5.5
Maurice Harris,@NO,L 31-34,0/0,0,0,0,0,0,0,2,26,0.1,5.5
Dede Westbrook,@Cle,W 19-7,0/0,0,0,0,0,0,0,2,24.7,0.2,5.4
Zay Jones,@LAC,L 24-54,0/0,0,0,0,0,0,0,2.1,25.4,0.1,5.4
Ricardo Louis,Jax,L 7-19,0/0,0,0,0,0,0,0,2.2,24.7,0.1,5.2
Brandon Coleman,Wsh,W 34-31,0/0,0,0,0,0,0,0,1.6,23.1,0.2,5.2
Cody Latimer*,Cin,L 17-20,0/0,0,0,0,0,0,0,2.2,23.2,0.1,5.1
Joshua Bellamy,Det,L 24-27,0/0,0,0,0,0,0,0,1.7,24.5,0.1,5
Mike Williams,Buf,W 54-24,0/0,0,0,0,0,0,0,1.7,22.3,0.2,4.9
Michael Campanaro,@GB,W 23-0,0/0,0,0,0,0.6,3.7,0,1.7,16.8,0.1,4.6
Phillip Dorsett,@Oak,W 33-8,0/0,0,0,0,0,0,0,1.6,22.5,0.1,4.6
Tavon Austin,@Min,L 7-24,0/0,0,0,0,3.4,22.3,0.1,0.7,9,0,4.6
Braxton Miller,Ari,W 31-21,0/0,0,0,0,0,0,0,1.8,18.5,0.2,4.6
Josh Malone,@Den,W 20-17,0/0,0,0,0,0,0,0,1.7,19.4,0.1,4.4
Brice Butler,Phi,L 9-37,0/0,0,0,0,0,0,0,1.3,18.9,0.2,4.2
Chris Moore,@GB,W 23-0,0/0,0,0,0,0,0,0,1.7,18.7,0.1,4.2
Bennie Fowler III,Cin,L 17-20,0/0,0,0,0,0,0,0,1.7,18.4,0.1,4.2
Laquon Treadwell,LAR,W 24-7,0/0,0,0,0,0,0,0,1.5,19.2,0.1,4.1
Willie Snead,Wsh,W 34-31,0/0,0,0,0,0,0,0,1.5,19.3,0.1,4.1
Tommylee Lewis,Wsh,W 34-31,0/0,0,0,0,0.3,1.7,0,0.8,10.3,0.1,2.5
Taywan Taylor,@Pit,L 17-40,0/0,0,0,0,0.5,3.1,0,0.8,9.9,0,2.3
Sammie Coates,Jax,L 7-19,0/0,0,0,0,0,0,0,1,10.9,0,2.3
Chris Thompson,Ari,W 31-21,0/0,0,0,0,0,0,0,0.7,9.1,0.1,2.2
Justin Hunter,Ten,W 40-17,0/0,0,0,0,0,0,0,0.6,7.9,0.1,1.8
Pharoh Cooper,@Min,L 7-24,0/0,0,0,0,0,0,0,0.6,6.8,0,1.7
Amara Darboh,Atl,L 31-34,0/0,0,0,0,0,0,0,0.6,7.3,0.1,1.7
Jordan Taylor,Cin,L 17-20,0/0,0,0,0,0,0,0,0.6,7.2,0,1.6
Michael Floyd,LAR,W 24-7,0/0,0,0,0,0,0,0,0.5,7.7,0.1,1.6
Jehu Chesson,@NYG,L 9-12,0/0,0,0,0,0,0,0,0.6,7,0.1,1.6
Ryan Switzer,Phi,L 9-37,0/0,0,0,0,0.3,1.5,0,0.4,4.9,0,1.5
Tre McBride III,** BYE **,0/0,0,0,0,0,0,0,0.5,6.2,0,--
Marcus Johnson,@Dal,W 37-9,0/0,0,0,0,0,0,0,0.4,5.5,0,1.2
Eli Rogers,Ten,W 40-17,0/0,0,0,0,0,0,0,0.4,5.2,0,1.2
Tanner McEvoy,Atl,L 31-34,0/0,0,0,0,0,0,0,0.4,4.9,0,1.1
Cobi Hamilton,Ari,W 31-21,0/0,0,0,0,0,0,0,0.4,4.7,0,1
Tyler Boyd,@Den,W 20-17,0/0,0,0,0,0,0,0,0.4,4.2,0,1
Andre Roberts,@Sea,W 34-31,0/0,0,0,0,0,0,0,0.2,2.5,0,0.9
Markus Wheaton,Det,L 24-27,0/0,0,0,0,0,0,0,0.3,4.3,0,0.8
Alex Erickson,@Den,W 20-17,0/0,0,0,0,0.2,1.4,0,0.2,2.2,0,0.8
Cody Core,@Den,W 20-17,0/0,0,0,0,0,0,0,0.3,3.2,0,0.7
Jakeem Grant,TB,L 20-30,0/0,0,0,0,0,0,0,0.2,2.6,0,0.7
Johnny Holton,NE,L 8-33,0/0,0,0,0,0,0,0,0.2,3.1,0,0.6
Darrius Heyward-Bey,Ten,W 40-17,0/0,0,0,0,0,0,0,0.2,2.6,0,0.6
Rashawn Scott,TB,L 20-30,0/0,0,0,0,0,0,0,0.2,2.6,0,0.5
Jarius Wright,LAR,W 24-7,0/0,0,0,0,0,0,0,0.2,2.5,0,0.5
Marvin Hall*,@Sea,W 34-31,0/0,0,0,0,0,0,0,0.2,2.5,0,0.5
Josh Reynolds,@Min,L 7-24,0/0,0,0,0,0,0,0,0.2,2.6,0,0.5
Freddie Martino,@Mia,W 30-20,0/0,0,0,0,0.5,3,0,0,0,0,0.4
Trevor Davis,Bal,L 0-23,0/0,0,0,0,0,0,0,0.1,1.1,0,0.3
Vince Mayle,@GB,W 23-0,0/0,0,0,0,0.3,1.4,0,0,0,0,0.2
