PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Delanie Walker,Sea,W 33-27,0/0,0,0,0,0,0,0,4.3,49.6,0.3,11.2
Mohamed Sanu,@Det,W 30-26,0/0,0,0,0,0.2,1.5,0,4.1,47.1,0.4,11.2
Chris Thompson*,Oak,W 27-10,0/0,0,0,0,5.9,28.3,0.2,3.5,29.7,0.1,11.2
Marqise Lee*,Bal,W 44-7,0/0,0,0,0,0.5,3.3,0,4.2,49.6,0.2,11.1
Tyrell Williams,KC,L 10-24,0/0,0,0,0,0,0,0,3.7,52.6,0.3,10.9
Tevin Coleman,@Det,W 30-26,0/0,0,0,0,8.4,36.7,0.3,2.3,21.5,0.2,10.9
Samaje Perine,Oak,W 27-10,0/0,0,0,0,13.9,58.4,0.5,1.1,10.2,0,10.9
Chris Hogan*,Hou,W 36-33,0/0,0,0,0,0.7,4.6,0,3.4,48.6,0.3,10.8
Marvin Jones Jr.,Atl,L 26-30,0/0,0,0,0,0,0,0,3.4,50.8,0.4,10.8
Jimmy Graham,@Ten,L 27-33,0/0,0,0,0,0,0,0,3.9,47.6,0.4,10.8
Vernon Davis,Oak,W 27-10,0/0,0,0,0,0,0,0,3.6,50.8,0.3,10.8
Sammy Watkins,@SF,W 41-39,0/0,0,0,0,0,0,0,3.6,56.2,0.3,10.7
Duke Johnson Jr.,@Ind,L 28-31,0/0,0,0,0,5.3,23.8,0.2,3.6,32.3,0.1,10.7
Bilal Powell,Mia,W 20-6,0/0,0,0,0,7.9,37.1,0.2,3.1,23.1,0.1,10.7
DeMarco Murray*,Sea,W 33-27,0/0,0,0,0,11.9,47.3,0.3,2.1,14.9,0.1,10.6
Jacquizz Rodgers,@Min,L 17-34,0/0,0,0,0,16,62.9,0.3,1.4,8.8,0,10.6
Kenny Golladay,Atl,L 26-30,0/0,0,0,0,0,0,0,3.6,44.7,0.4,10.6
Darren Sproles*,NYG,W 27-24,0/0,0,0,0,6.1,25.8,0.2,3.5,27.9,0.1,10.5
Sterling Shepard*,@Phi,L 24-27,0/0,0,0,0,0.2,1.3,0,4.1,47,0.2,10.4
